Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	mmd_entropy	alpha	Time
24	11.75	2.2776084	14.0	9.0	41.5	42.0981	93.0	0.0	9.8	3.6823907	14.0	3.0	48.1	33.263943	109.0	0.0	1000.0	1000.0	95999	19.85089	19.850916	-19.789282	0.23708402	1.4394892	0.05000001	2452.913911342621
25	12.5	1.118034	14.0	11.0	58.5	27.207535	100.0	25.0	11.2	2.5612497	14.0	6.0	49.3	33.582882	118.0	0.0	1000.0	1000.0	99999	19.75513	19.755156	-19.688507	0.23527631	1.4200591	0.05000001	2541.276955127716
26	10.75	1.7853571	13.0	8.0	67.25	12.152675	86.0	56.0	8.4	5.5892754	15.0	0.0	95.8	173.89066	613.0	0.0	1000.0	1000.0	103999	19.697493	19.69757	-19.624996	0.23498107	1.4296403	0.05000001	2629.8777508735657
27	12.5	1.118034	14.0	11.0	38.75	6.4951906	47.0	31.0	11.8	1.4	14.0	9.0	66.5	44.18201	159.0	0.0	1000.0	1000.0	107999	19.626665	19.626692	-19.555191	0.2320545	1.433437	0.05000001	2719.1900782585144
28	12.25	1.6393596	15.0	11.0	50.75	16.452583	68.0	27.0	11.5	4.3646307	16.0	0.0	55.7	41.143772	124.0	0.0	1000.0	1000.0	111999	19.694706	19.694784	-19.625	0.23703979	1.4557947	0.05000001	2808.4589335918427
29	11.5	1.118034	13.0	10.0	49.25	36.54022	109.0	19.0	12.7	1.8466185	15.0	9.0	51.9	62.245407	216.0	5.0	1000.0	1000.0	115999	19.760878	19.760908	-19.688164	0.23691246	1.4366283	0.05000001	2897.814928293228
30	12.0	1.8708287	14.0	9.0	15.5	15.516121	32.0	0.0	12.2	1.1661904	14.0	10.0	43.1	34.57875	93.0	0.0	1000.0	1000.0	119999	19.767971	19.767948	-19.693844	0.24063122	1.4282984	0.05000001	2986.8430185317993
31	13.0	2.9154758	17.0	9.0	69.0	46.749332	119.0	0.0	12.2	1.4	14.0	9.0	48.2	23.709915	85.0	0.0	1000.0	1000.0	123999	19.823034	19.823082	-19.749174	0.24083722	1.4353687	0.05000001	3075.739661216736
32	11.0	2.1213202	14.0	9.0	93.5	24.844517	114.0	51.0	12.4	1.356466	15.0	10.0	64.8	39.916912	129.0	0.0	1000.0	1000.0	127999	19.861246	19.861256	-19.780773	0.24226762	1.4273944	0.05000001	3164.2207219600677
33	14.0	1.4142135	16.0	12.0	49.75	36.458023	103.0	0.0	11.7	2.3259406	15.0	7.0	69.9	40.37685	134.0	10.0	1000.0	1000.0	131999	19.815222	19.815197	-19.732265	0.23810232	1.4043057	0.05000001	3251.84703540802
34	10.25	1.0897248	12.0	9.0	69.5	23.584953	95.0	31.0	10.3	3.2878563	14.0	2.0	66.7	26.506792	103.0	24.0	1000.0	1000.0	135999	19.738083	19.738123	-19.65458	0.23756981	1.3771956	0.05000001	3340.707623243332
35	10.5	3.2787192	13.0	5.0	49.5	20.353132	83.0	28.0	11.7	0.90000004	13.0	10.0	46.5	27.677608	80.0	0.0	1000.0	1000.0	139999	19.686445	19.686474	-19.601831	0.24107803	1.3696035	0.05000001	3429.23700094223
36	12.25	1.299038	13.0	10.0	41.0	25.544079	77.0	8.0	11.9	1.2206556	13.0	10.0	65.6	28.362652	119.0	18.0	1000.0	1000.0	143999	19.650532	19.650536	-19.560673	0.24165279	1.3755586	0.05000001	3517.782358646393
37	11.75	1.299038	14.0	11.0	53.75	29.380053	98.0	18.0	12.5	1.5652477	15.0	9.0	62.4	20.313541	88.0	28.0	1000.0	1000.0	147999	19.591057	19.591131	-19.499773	0.24090905	1.3735116	0.05000001	3606.0242853164673
38	12.0	1.5811388	14.0	10.0	69.75	35.653717	123.0	30.0	12.4	1.2	15.0	10.0	50.8	20.128586	86.0	29.0	1000.0	1000.0	151999	19.553936	19.554014	-19.462822	0.23728628	1.3720454	0.05000001	3695.1483204364777
39	12.0	2.1213202	15.0	10.0	38.25	18.10214	57.0	12.0	11.5	1.9621416	14.0	7.0	60.2	16.011246	84.0	32.0	1000.0	1000.0	155999	19.532288	19.53241	-19.440279	0.23492126	1.3835518	0.05000001	3784.388197183609
40	12.25	2.1650636	15.0	9.0	79.25	39.98359	148.0	51.0	11.8	0.8717798	13.0	10.0	63.6	37.191933	118.0	0.0	1000.0	1000.0	159999	19.555521	19.555628	-19.462677	0.23514	1.4092888	0.05000001	3873.3942115306854
41	11.0	0.70710677	12.0	10.0	73.5	38.20013	132.0	26.0	12.6	1.0198039	14.0	11.0	60.5	34.392586	104.0	0.0	1000.0	1000.0	163999	19.574684	19.57471	-19.480461	0.23541975	1.4136758	0.05000001	3960.210419654846
42	12.25	0.8291562	13.0	11.0	60.25	25.926579	86.0	17.0	12.6	1.8000001	17.0	11.0	59.7	36.09723	116.0	0.0	1000.0	1000.0	167999	19.572483	19.572443	-19.476503	0.23955688	1.4053313	0.05000001	4048.411187648773
43	12.5	2.6925824	15.0	8.0	64.0	35.92353	108.0	17.0	12.0	1.67332	15.0	10.0	63.6	27.01555	103.0	9.0	1000.0	1000.0	171999	19.560286	19.560318	-19.464453	0.23789752	1.4049753	0.05000001	4137.136094093323
44	13.0	1.4142135	15.0	11.0	62.25	32.88902	119.0	41.0	12.7	1.8466185	15.0	9.0	47.7	34.76507	116.0	0.0	1000.0	1000.0	175999	19.601042	19.60111	-19.505465	0.23554721	1.4130236	0.05000001	4225.9693195819855
45	11.0	3.0	14.0	6.0	58.75	32.205395	97.0	9.0	12.1	1.9723083	16.0	10.0	60.9	35.7224	117.0	0.0	1000.0	1000.0	179999	19.623987	19.624058	-19.527008	0.23815253	1.4145398	0.05000001	4314.638823032379
46	13.25	0.4330127	14.0	13.0	55.25	34.80212	111.0	23.0	11.2	1.2489996	13.0	8.0	77.8	25.58437	125.0	36.0	1000.0	1000.0	183999	19.651665	19.651714	-19.555162	0.2392825	1.4155574	0.05000001	4403.502665042877
47	12.75	0.8291562	14.0	12.0	20.0	13.928389	34.0	0.0	12.3	1.8466185	15.0	9.0	62.6	33.547577	124.0	20.0	1000.0	1000.0	187999	19.689165	19.689236	-19.592855	0.23375498	1.4216748	0.05000001	4492.978582859039
48	12.75	0.4330127	13.0	12.0	40.25	32.79005	91.0	0.0	11.4	3.7469985	16.0	1.0	57.7	32.643684	110.0	12.0	1000.0	1000.0	191999	19.758348	19.758486	-19.658113	0.23410337	1.4290662	0.05000001	4581.7833778858185
49	12.75	1.299038	14.0	11.0	66.0	35.220734	125.0	35.0	11.1	2.5475478	14.0	6.0	69.2	46.843994	180.0	0.0	1000.0	1000.0	195999	19.78285	19.782898	-19.68326	0.22930485	1.4021553	0.05000001	4669.8886704444885
50	13.5	0.8660254	15.0	13.0	34.25	23.868128	67.0	0.0	12.1	1.3747728	15.0	10.0	75.4	30.117104	114.0	24.0	1000.0	1000.0	199999	19.78893	19.789028	-19.686256	0.23704655	1.3993711	0.05000001	4758.701953411102
51	12.0	0.70710677	13.0	11.0	58.0	29.639502	105.0	23.0	12.8	0.97979593	15.0	12.0	56.5	29.564337	104.0	15.0	1000.0	1000.0	203999	19.776794	19.776821	-19.675701	0.23002115	1.4214023	0.05000001	4847.5627501010895
