Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
20	12.25	0.8291562	13.0	11.0	40.25	15.204851	58.0	16.0	11.9	1.3	14.0	10.0	65.9	30.81055	109.0	0.0	1000.0	1000.0	79999	12.976844	4.136282	38.114437	-2.9730444	12.976748	4.1372557	37.865414	-2.8091543	-13.104904	0.28131926	1053.8234734535217
21	11.5	2.0615528	14.0	9.0	52.5	27.299267	99.0	30.0	11.2	1.5362291	12.0	7.0	57.0	32.86031	119.0	15.0	1000.0	1000.0	83999	13.1776	4.097957	38.680225	-2.476807	13.177455	4.0989757	38.23259	-2.179811	-13.322521	0.28500533	1107.0413269996643
22	12.0	1.5811388	14.0	10.0	32.0	35.895683	87.0	0.0	11.4	2.4576411	15.0	6.0	43.6	40.150215	119.0	0.0	1000.0	1000.0	87999	13.358405	4.0629635	39.14108	-1.8735992	13.358153	4.064425	38.28071	-2.0391712	-13.488913	0.28448868	1160.2400076389313
23	10.25	3.6314597	13.0	4.0	51.75	30.841328	96.0	20.0	10.3	4.5177426	14.0	1.0	45.5	42.50941	120.0	0.0	1000.0	1000.0	91999	13.522246	4.0730233	36.438206	-2.8423371	13.522087	4.0745215	37.15908	-2.9031048	-13.66003	0.27372137	1213.6196403503418
24	12.5	2.0615528	16.0	11.0	51.75	8.84237	66.0	43.0	10.8	1.9390719	14.0	8.0	63.4	44.739693	163.0	4.0	1000.0	1000.0	95999	13.672982	4.0650816	35.424793	-3.831329	13.6728115	4.0662265	35.079876	-3.7060418	-13.79751	0.27565005	1266.8227815628052
25	13.25	1.0897248	15.0	12.0	58.75	15.864662	78.0	36.0	12.5	1.4317821	14.0	10.0	41.8	25.245989	83.0	15.0	1000.0	1000.0	99999	13.804105	4.055591	33.737053	-4.2933245	13.804044	4.056641	33.274483	-3.7996602	-13.9186945	0.282526	1321.0631244182587
26	12.5	2.0615528	15.0	10.0	46.0	20.530466	69.0	13.0	10.1	3.3301651	15.0	2.0	58.8	24.485916	97.0	16.0	1000.0	1000.0	103999	13.940019	4.015032	32.526344	-2.98175	13.939786	4.0164614	33.28857	-3.0793586	-14.067086	0.28091347	1374.3655869960785
27	12.75	1.299038	14.0	11.0	31.25	25.83965	66.0	0.0	10.1	4.229657	16.0	1.0	59.0	50.291153	135.0	0.0	1000.0	1000.0	107999	14.05248	3.9760103	32.866302	-2.9214325	14.052317	3.9773912	33.89407	-2.1771936	-14.176072	0.28351045	1427.2794189453125
28	11.75	2.046338	15.0	10.0	60.75	30.36754	113.0	40.0	10.1	3.9862266	13.0	2.0	51.1	39.25672	130.0	0.0	1000.0	1000.0	111999	14.180806	3.9247725	33.274944	-4.460517	14.1806965	3.9260485	35.033028	-2.9359026	-14.295606	0.28702533	1480.2856693267822
29	10.75	2.1650636	12.0	7.0	42.5	22.59978	72.0	12.0	11.6	4.2	15.0	0.0	49.9	51.869934	161.0	0.0	1000.0	1000.0	115999	14.245059	3.9050326	34.30014	-3.059349	14.244954	3.9061372	34.97255	-3.1104686	-14.354377	0.28140625	1533.780591726303
30	13.25	1.299038	14.0	11.0	36.0	23.695992	66.0	0.0	9.4	4.6086874	15.0	1.0	33.7	27.25821	85.0	0.0	1000.0	1000.0	119999	14.316585	3.8883808	33.611546	-4.3166494	14.3166	3.8896394	34.522892	-4.6977277	-14.433888	0.28243715	1586.3440110683441
31	11.25	0.8291562	12.0	10.0	77.75	49.539757	154.0	16.0	12.4	1.8000001	15.0	9.0	54.4	23.113632	102.0	14.0	1000.0	1000.0	123999	14.33874	3.8848255	33.511036	-4.5430098	14.338604	3.886274	34.618465	-5.9726086	-14.4558735	0.29114363	1639.0012745857239
32	10.75	2.8613808	13.0	6.0	63.5	38.036167	117.0	21.0	12.3	1.0049876	14.0	11.0	63.0	32.72308	108.0	0.0	1000.0	1000.0	127999	14.329923	3.8781693	33.22832	-5.681994	14.329845	3.879507	33.713448	-5.615619	-14.43736	0.28668684	1691.8566491603851
33	12.75	1.47902	15.0	11.0	49.25	22.286488	80.0	28.0	10.8	2.8913665	15.0	3.0	63.1	37.85353	126.0	0.0	1000.0	1000.0	131999	14.353779	3.8734467	33.50709	-4.700185	14.35376	3.875238	34.16722	-5.789753	-14.460088	0.29514983	1744.2855203151703
34	9.5	3.2015622	12.0	4.0	94.75	89.959366	247.0	18.0	10.5	2.7658634	14.0	4.0	72.9	57.245872	155.0	0.0	1000.0	1000.0	135999	14.399937	3.8557591	33.740303	-5.1306643	14.399855	3.8573606	35.64095	-5.5521746	-14.511334	0.2870107	1796.6195945739746
35	12.5	1.118034	14.0	11.0	35.5	26.837473	72.0	0.0	11.9	2.426932	15.0	7.0	51.9	43.04753	149.0	0.0	1000.0	1000.0	139999	14.468058	3.827737	32.911003	-4.853766	14.468102	3.828866	33.838673	-4.9805365	-14.584211	0.28496918	1849.234977722168
36	12.75	1.47902	15.0	11.0	38.5	28.587585	67.0	0.0	12.1	1.3747728	14.0	10.0	83.8	42.581215	165.0	17.0	1000.0	1000.0	143999	14.526978	3.8178592	33.7519	-4.3076673	14.527027	3.8187435	35.642048	-4.4495354	-14.639445	0.2803027	1901.7917008399963
37	12.0	0.70710677	13.0	11.0	37.5	26.659895	72.0	0.0	12.4	1.2806249	14.0	10.0	63.5	33.64595	130.0	13.0	1000.0	1000.0	147999	14.603257	3.8106844	33.089233	-5.143526	14.603208	3.8121016	34.581528	-4.436678	-14.709683	0.28548902	1953.9369947910309
38	12.25	1.0897248	14.0	11.0	42.0	23.94786	78.0	17.0	12.4	0.66332495	14.0	12.0	54.5	36.208424	117.0	0.0	1000.0	1000.0	151999	14.681354	3.778802	33.352276	-3.2910528	14.681245	3.7801232	35.063477	-3.3559556	-14.783587	0.27895436	2005.8935747146606
39	13.25	0.8291562	14.0	12.0	33.0	35.902645	86.0	0.0	11.6	1.56205	14.0	8.0	79.3	33.920643	149.0	38.0	1000.0	1000.0	155999	14.758203	3.742558	32.67686	-3.9069316	14.758196	3.7434177	34.13128	-3.8924491	-14.867457	0.28077537	2058.462547302246
40	13.25	0.8291562	14.0	12.0	63.25	18.53881	88.0	37.0	11.8	0.8717798	13.0	10.0	63.8	25.458988	104.0	17.0	1000.0	1000.0	159999	14.839381	3.6990924	32.859173	-3.763308	14.839329	3.6999912	32.897507	-3.727778	-14.940652	0.28029925	2113.049467563629
41	10.75	1.299038	12.0	9.0	65.25	26.947866	98.0	23.0	11.4	2.3748684	15.0	6.0	51.9	34.235798	119.0	0.0	1000.0	1000.0	163999	14.905518	3.6644979	32.220177	-4.901859	14.905485	3.6660285	32.82592	-4.8836546	-15.011769	0.27895725	2165.412552833557
42	12.75	1.0897248	14.0	11.0	57.0	14.017846	72.0	43.0	12.8	1.939072	16.0	9.0	51.3	43.262108	159.0	0.0	1000.0	1000.0	167999	14.958171	3.6023037	31.110094	-7.242276	14.958223	3.6029513	30.673782	-6.3567314	-15.059336	0.27381086	2217.7926123142242
43	13.25	0.8291562	14.0	12.0	55.5	52.789677	141.0	7.0	12.9	0.9433981	15.0	12.0	43.5	27.825348	103.0	4.0	1000.0	1000.0	171999	15.01753	3.54841	31.154135	-8.761122	15.017568	3.5493731	30.536615	-8.883729	-15.108172	0.2727677	2270.207974910736
44	13.25	0.8291562	14.0	12.0	52.0	29.883106	83.0	13.0	12.5	1.3601471	15.0	10.0	47.5	18.789625	84.0	25.0	1000.0	1000.0	175999	15.07338	3.5191846	31.171787	-8.353892	15.073373	3.5203547	30.965927	-7.866881	-15.159821	0.26672572	2321.7724239826202
45	13.0	1.8708287	16.0	11.0	48.75	29.277765	86.0	7.0	13.2	1.777639	16.0	11.0	40.1	30.280191	115.0	0.0	1000.0	1000.0	179999	15.111565	3.5038471	32.183277	-7.3659625	15.11151	3.5053046	32.28804	-7.066109	-15.206454	0.26187867	2374.394375562668
46	13.0	1.2247449	14.0	11.0	41.75	30.986893	74.0	0.0	11.6	1.8000001	15.0	9.0	81.0	32.526913	140.0	37.0	1000.0	1000.0	183999	15.152661	3.476561	32.14783	-5.912686	15.152598	3.4778488	31.707312	-5.885299	-15.241487	0.25114524	2427.304711341858
47	12.0	0.70710677	13.0	11.0	15.5	16.755596	40.0	0.0	12.1	1.1357816	14.0	11.0	47.3	34.9	99.0	0.0	1000.0	1000.0	187999	15.254531	3.4410052	30.129194	-7.0694404	15.254301	3.4429789	30.644403	-9.820703	-15.342714	0.25066742	2480.676041841507
48	12.5	1.118034	14.0	11.0	49.0	38.490257	95.0	0.0	12.9	0.83066237	14.0	11.0	55.7	23.630701	90.0	24.0	1000.0	1000.0	191999	15.345815	3.4247148	31.165806	-6.359084	15.345533	3.426538	31.426487	-7.588731	-15.428734	0.23307714	2532.8781776428223
49	11.5	1.6583124	14.0	10.0	78.25	30.629847	119.0	34.0	12.5	1.8027756	16.0	9.0	57.3	33.361805	135.0	0.0	1000.0	1000.0	195999	15.46987	3.3738937	29.822035	-5.0443215	15.469703	3.3753529	32.647457	-5.3417864	-15.559981	0.23387463	2585.182836294174
