Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
18	0.0	0.0	0.0	0.0	60.75	105.222084	243.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	980.75	1000.0	71999	38.70858	40.86288	435.50018	-5.4416356	38.708046	40.865772	434.79642	-6.7335234	0.97756314	7.1533504	51.61817	-18.618832	-39.69356	23.0883	1855.2198362350464
19	0.0	0.0	0.0	0.0	150.0	201.70895	491.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	75999	52.21659	59.23724	564.3682	-6.746951	52.215206	59.241478	548.7083	-6.12387	3.779277	7.7098303	51.222507	-19.32206	-53.734898	45.908276	1957.4989790916443
20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	79999	76.02735	82.5643	733.9967	-6.3049088	76.02467	82.56485	725.28186	-7.519668	6.9460783	7.9248257	58.023773	-17.636398	-78.19083	80.09731	2060.3552074432373
21	0.0	0.0	0.0	0.0	40.75	70.58107	163.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	83999	105.00331	113.01512	910.79407	-9.01662	105.00294	113.01635	925.1669	-11.860695	9.870772	8.160052	71.75194	-16.687237	-107.89084	124.83372	2162.8782737255096
22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	87999	147.28818	148.10846	1156.7896	-10.557561	147.28831	148.10898	1142.1927	-5.1114497	13.474271	8.542008	88.33744	-14.669388	-151.15456	184.0526	2265.288479089737
23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	91999	197.71564	180.33788	1501.1663	1.5800006	197.7157	180.34056	1523.7056	-10.154122	17.199247	8.691303	82.83003	-14.523774	-202.8036	262.58105	2366.904896259308
24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	95999	263.8732	212.23521	1578.0072	-6.269996	263.87448	212.23265	1596.2198	-6.1175294	20.945057	9.150994	91.25119	-15.115306	-270.13983	334.674	2468.7193598747253
25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	99999	337.33832	234.8151	1781.3184	6.3227816	337.34003	234.8156	1767.4022	4.8790584	24.726988	9.575844	97.87844	-9.010871	-344.94446	403.24393	2570.387844324112
26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	103999	418.0328	260.98242	1975.3464	-8.159382	418.038	260.97656	2034.9524	-6.743357	27.637575	10.004178	98.28234	-7.077261	-426.8184	461.108	2672.243910074234
27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	107999	509.69727	287.5519	2154.42	-21.69883	509.69864	287.55356	2162.8447	-5.441449	30.716347	10.630303	102.37535	-6.096032	-519.6718	540.9431	2774.0766422748566
28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	111999	610.98364	311.82465	2574.6682	-29.216797	610.9836	311.82697	2591.2178	-56.64127	33.84374	11.206299	105.671196	-6.455713	-622.5671	629.8675	2876.312552213669
29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	115999	727.75104	331.40744	2834.9727	-38.77816	727.7528	331.40872	2832.5156	-29.031261	36.52332	11.798187	118.860016	-3.2799025	-740.7344	748.7622	2978.6776039600372
30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	119999	844.7147	356.03525	3209.7393	-1.5465891	844.71954	356.037	3227.3171	32.358307	38.306625	11.934373	131.13068	-5.3587303	-858.8453	861.5935	3080.4300985336304
31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	123999	958.46234	384.21518	3620.1252	6.7045674	958.465	384.22208	3550.5037	-12.269427	40.460636	12.532838	130.39787	-3.7287445	-974.1601	1036.1304	3182.300742149353
32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	127999	1083.3536	407.75986	3689.685	-73.04148	1083.3564	407.7588	3691.4563	-1.9282188	42.36565	13.110851	141.48232	-1.7114162	-1100.0615	1168.8112	3284.777944803238
33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	131999	1190.796	409.9	3814.277	-44.597816	1190.7974	409.90787	3792.9272	-45.687973	43.642593	13.395465	141.07289	-2.9514008	-1207.8275	1183.318	3387.0450234413147
34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	135999	1286.9606	422.58194	4257.6504	-95.38167	1286.9629	422.58273	4156.79	-46.242752	44.480106	13.735241	142.26654	-2.8075504	-1304.4324	1282.2898	3489.778732776642
35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	139999	1378.686	445.74542	4377.387	-135.84601	1378.6875	445.72562	4420.9814	-128.88744	45.88139	13.87536	147.27798	0.07927799	-1397.2736	1391.211	3591.6288328170776
36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	143999	1481.0228	473.32516	4830.28	-169.48178	1481.028	473.31256	4877.6187	-154.79587	47.22014	14.219612	164.88075	-1.3618445	-1500.6945	1483.732	3693.568390607834
37	0.0	0.0	0.0	0.0	32.0	55.425625	128.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	147999	1578.0325	506.22397	5061.7095	-135.07141	1578.04	506.18198	4972.701	-180.641	47.9115	14.426389	165.5918	-1.0378561	-1598.5663	1644.0435	3796.2802057266235
38	0.0	0.0	0.0	0.0	87.0	150.68842	348.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	151999	1668.8927	529.577	4946.5625	-120.86667	1668.899	529.5505	4856.2725	-258.45938	48.568417	14.609764	178.55035	0.11651802	-1689.4668	1750.2362	3898.440104484558
39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	155999	1741.4247	547.8725	5063.1714	-157.37312	1741.4291	547.8475	4997.056	-123.86844	49.35265	14.725001	213.05319	-0.6046405	-1762.3925	1814.3007	4000.4365417957306
40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	159999	1811.3416	568.14606	5252.8633	-249.56635	1811.3439	568.14966	5202.7114	-61.60117	49.81594	14.697371	193.40784	-0.58951473	-1832.9296	1944.4368	4102.193030595779
41	0.0	0.0	0.0	0.0	3.0	5.196152	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	163999	1884.73	583.8862	5229.0625	-59.50285	1884.7285	583.8641	5212.5874	-52.319157	50.525944	15.1622095	171.8295	1.9924469	-1906.9117	2077.0425	4204.685555696487
42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	167999	1949.999	604.72186	5324.2734	-235.63953	1950.0043	604.7189	5318.047	-291.99084	50.799343	15.114173	200.15039	-3.9259663	-1972.2913	2148.0059	4306.71488070488
43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	171999	2018.2422	606.29565	5688.6685	-214.6514	2018.2406	606.30865	5701.6284	-11.61015	51.82371	15.498972	199.02797	-0.8589368	-2041.8296	2254.86	4408.872890949249
44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	175999	2087.3042	611.64514	6181.659	-100.64847	2087.3013	611.662	6201.465	-119.715744	52.36794	15.540456	237.37436	3.130825	-2111.391	2355.8	4510.633117437363
45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	179999	2150.751	610.92175	6303.6025	-193.3557	2150.7507	610.9363	6339.8193	-235.82977	52.991566	15.732765	191.20102	2.643137	-2175.0498	2403.797	4612.68045091629
46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	183999	2207.578	609.4326	6465.876	-1081.4984	2207.573	609.4237	6391.631	-413.8327	53.77841	15.98232	206.76294	0.19820786	-2232.041	2399.7676	4714.29713511467
47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	187999	2249.3044	609.3456	6629.8066	-414.30966	2249.3125	609.3059	6647.5835	-227.9766	53.664185	15.502902	181.46156	-0.10008907	-2273.172	2340.2385	4815.480627775192
48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	191999	2266.3618	607.888	6755.0347	-385.58267	2266.3696	607.85297	6891.137	-153.00648	54.196163	15.50863	183.469	0.56770134	-2289.547	2316.4226	4917.288203954697
49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	195999	2285.0583	610.23926	6787.474	-631.0642	2285.06	610.203	6873.95	-619.41626	54.58399	15.616112	191.14532	5.8036623	-2308.288	2409.624	5019.025133132935
50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	199999	2309.191	621.3136	7020.507	-626.82855	2309.195	621.2929	7128.306	-397.27863	54.730755	15.838993	188.11404	-0.69160366	-2333.297	2557.118	5120.460860490799
51	0.0	0.0	0.0	0.0	2.5	2.598076	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	203999	2339.549	631.8373	7458.0767	-617.5897	2339.5488	631.8078	7475.621	-609.97626	55.40702	15.955384	203.55281	1.7816849	-2364.426	2751.1753	5222.51226067543
