Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.33333334	0.6236096	2.0	0.0	196.83333	75.52134	342.0	40.0	1000.0	5872.0	0.19573333333333334	-0.35674918	0.28275758	0.50606275	-1.2655997	-0.41292885	0.5420902	1.0340028	-1.7060723	1.44355e-08	-0.0015819477	2.2351742e-08	-0.053563718	0.39671627	-0.30718344	556.67865	-339.36884	0.37724587	0.0	0.003097584	-0.19010378	0.17183332	0.0032397246	0.004469403	0.14053385	0.0	0.37724587	0.0	0.0	0.0	1.837877	0.008761082	30000	64.39745044708252
1	0.16666667	0.372678	1.0	0.0	168.875	115.6926	419.0	0.0	1000.0	10815.0	0.18025	0.012408089	0.32631183	1.0028594	-0.88908875	17.930645	0.45801282	18.952988	14.799194	-1.7695129e-08	0.00021408388	-1.1920929e-07	-0.05351773	0.053578224	-0.009635213	253.7207	-61.75912	0.35793856	0.0	0.0054250346	-0.11260431	0.143875	0.0054439954	-0.0017204141	0.15610364	0.0	0.35793856	0.0	0.0	0.0	1.8405484	0.009347254	60000	122.51621651649475
2	0.083333336	0.2763854	1.0	0.0	155.91667	91.054886	317.0	0.0	1000.0	16173.0	0.1797	0.035078395	0.3166678	1.012134	-0.9827838	15.110518	6.867909	26.303068	-1.67707	-7.450581e-09	0.0012551222	-1.1920929e-07	-0.052380618	0.07078349	-0.01177315	211.13953	-49.394722	0.39142787	0.0	0.004996568	-0.11129962	0.13091667	0.0052609076	-0.0058741425	0.13053484	0.0	0.39142787	0.0	0.0	0.0	1.8488774	0.009191759	90000	176.29358291625977
3	0.16666667	0.372678	1.0	0.0	148.29167	96.51186	306.0	0.0	1000.0	20693.0	0.17244166666666666	-0.010904619	0.31780383	0.88747984	-0.87097156	14.649342	10.352879	39.743294	-3.1485083	-2.7939677e-09	0.0019564624	-1.4901161e-08	-0.057681046	0.06217705	-0.008728107	168.70926	-35.669064	0.33663177	0.0	0.0061025447	-0.06612866	0.12329167	0.006340132	-0.006475472	0.17648986	0.0	0.33663177	0.0	0.0	0.0	1.8727176	0.007743808	120000	236.99896359443665
4	0.083333336	0.2763854	1.0	0.0	126.958336	94.65352	313.0	0.0	1000.0	24406.0	0.16270666666666667	-0.016347963	0.24955612	1.1550864	-0.9004854	13.917056	11.219683	42.355785	-5.0056815	9.313226e-10	0.0024581733	-6.7055225e-08	-0.053314824	0.06327206	-0.017955586	99.920395	-21.182182	0.38765493	0.0	0.0051009217	-0.058109913	0.101958334	0.0053309533	-0.0055330317	0.13308813	0.0	0.38765493	0.0	0.0	0.0	1.8827556	0.009147819	150000	299.3648543357849
5	0.083333336	0.2763854	1.0	0.0	63.916668	59.373756	210.0	0.0	1000.0	27074.0	0.1504111111111111	-0.13924652	0.28218722	0.8287995	-1.0741853	8.644084	10.079598	43.88684	-3.51879	-1.8626451e-09	-0.004456366	7.450581e-09	-0.040898625	0.0671056	-0.011584504	86.20981	-16.007267	0.30245367	0.0	0.0043614176	0.0067599723	0.03891667	0.0044588298	-0.0033380871	0.11438851	0.80323267	0.30245367	1.0	0.0	0.0	1.8843174	0.009571627	180000	354.37578868865967
6	0.16666667	0.372678	1.0	0.0	90.125	80.348885	299.0	0.0	1000.0	30294.0	0.14425714285714286	-0.096103355	0.37292394	1.2309175	-1.1837518	10.622855	11.060801	45.71086	-1.9016136	1.4901161e-08	0.002597968	-8.940697e-08	-0.051668458	0.07034657	-0.008924688	132.22299	-21.198421	0.3860266	0.0	0.00535627	-0.011600934	0.065125	0.005841031	-0.008066066	0.1342133	0.0	0.3860266	0.0	0.0	0.0	1.8368596	0.008860638	210000	416.54710483551025
7	0.041666668	0.1998263	1.0	0.0	52.916668	40.733807	144.0	0.0	1000.0	32191.0	0.13412916666666666	-0.06919265	0.32329464	1.2761097	-1.1190807	7.110842	9.481062	46.409283	-2.245904	-6.9849193e-09	-0.0049114386	7.450581e-09	-0.031652197	0.06982258	-0.013218268	65.886215	-22.935877	0.2763626	0.0	0.004656246	0.012053731	0.027916668	0.005626265	-0.009753761	0.098076254	0.621523	0.2763626	1.0	0.0	0.0	1.8234243	0.008452214	240000	479.1767761707306
8	0.0	0.0	0.0	0.0	86.291664	87.49309	286.0	0.0	1000.0	34910.0	0.1292962962962963	-0.08817693	0.34642312	1.002996	-1.1483632	8.678132	9.170935	47.725235	-1.4886477	4.656613e-09	0.0017347488	2.9802322e-08	-0.045578234	0.06921813	-0.009605995	87.985085	-26.013653	0.4360796	0.0	0.004738368	-0.015719421	0.061291665	0.0052193357	-0.0071122507	0.10517158	0.0	0.4360796	0.0	0.0	0.0	1.8307741	0.009047902	270000	540.1008369922638
9	0.20833333	0.49826086	2.0	0.0	58.166668	49.717255	160.0	0.0	1000.0	36844.0	0.12281333333333333	-0.06980594	0.33253706	0.9637536	-1.2749038	6.3312583	7.990707	47.494827	-1.2682207	9.313226e-10	-0.0012543426	1.4901161e-08	-0.036638964	0.0859559	-0.021266779	62.687103	-13.764309	0.5218781	0.0	0.0047361106	0.0054450245	0.03316667	0.0056943065	-0.008509876	0.075577445	0.93263346	0.5218781	1.0	0.0	0.0	1.8283747	0.009906283	300000	602.4330997467041
