Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
11	0.041666668	0.1998263	1.0	0.0	38.583332	29.674507	107.0	0.0	1000.0	15574.0	0.04326111111111111	0.041075476	0.25434944	0.69670177	-0.6639892	3.8967776	4.93751	44.635025	-0.26544708	-1.3038516e-08	-0.0087185595	-1.4901161e-08	-0.0120770745	0.0723829	-0.025324745	43.927647	-10.425352	0.11436804	0.0	0.004288251	0.016048184	0.013583332	0.004348832	0.0016818115	0.046689138	0.51692456	0.11436804	1.0	0.0	0.0	1.7642405	0.009513879	360000	487.9024348258972
12	0.25	0.595119	2.0	0.0	41.625	44.55784	149.0	0.0	1000.0	16701.0	0.04282307692307692	0.13017459	0.24862947	0.9147855	-0.6874658	4.2914886	4.5584874	37.32553	-1.5292772	-2.2351742e-08	-0.007134199	-4.4703484e-08	-0.016272448	0.07682485	-0.028804408	37.256042	-10.507795	0.24205813	0.0	0.004346217	0.013029229	0.016625	0.0043462175	4.326287e-06	0.039649937	0.577559	0.24205813	1.0	0.0	0.0	1.7507005	0.00968543	390000	527.5767271518707
13	0.125	0.43898556	2.0	0.0	39.958332	30.875395	108.0	0.0	1000.0	17884.0	0.04258095238095238	0.16512708	0.24837966	1.1728102	-0.5758051	5.223766	4.927314	35.744503	-0.8325114	1.6763806e-08	-0.0076933154	2.2351742e-08	-0.015185923	0.08107717	-0.03859147	46.43522	-18.703648	0.1676548	0.0	0.0042778715	0.015505391	0.014958332	0.00428268	-0.00048925274	0.049782243	0.52525777	0.1676548	1.0	0.0	0.0	1.761147	0.009423486	420000	568.5057229995728
14	0.20833333	0.40611646	1.0	0.0	43.125	34.959873	126.0	0.0	1000.0	19105.0	0.04245555555555556	0.11256051	0.25951076	1.0204747	-0.7582471	3.39152	4.4454694	34.776836	-2.3389025	1.21071935e-08	-0.0074584624	-1.1175871e-08	-0.02120312	0.059972394	-0.024652611	32.214146	-11.758997	0.2542712	0.0	0.004610726	0.0145467585	0.018125	0.005044799	-0.0051136613	0.06024226	0.56299114	0.2542712	1.0	0.0	0.0	1.7873415	0.009442957	450000	608.7035436630249
15	0.083333336	0.3996526	2.0	0.0	46.833332	63.063244	224.0	0.0	1000.0	20398.0	0.04249583333333333	0.073750585	0.29846576	1.3202158	-0.93570143	4.0125217	5.2262344	37.60315	-1.4986014	5.5879354e-09	-0.0067779142	-8.940697e-08	-0.02229748	0.0950664	-0.04297638	51.51405	-26.428226	0.23783353	0.0	0.0037454544	0.011245878	0.021833332	0.003747714	-0.00035077365	0.05445371	0.577106	0.23783353	1.0	0.0	0.0	1.8055539	0.009117223	480000	646.1257395744324
16	0.25	0.5204165	2.0	0.0	38.208332	36.288174	122.0	0.0	1000.0	21394.0	0.041949019607843134	0.11639056	0.31140175	1.1309843	-1.0538892	5.455011	6.778001	46.74874	-1.0507561	1.1175871e-08	-0.0089932075	-7.450581e-09	-0.015130587	0.11745751	-0.05111546	52.390797	-26.614302	0.07932386	0.0	0.0041766893	0.017362747	0.0132083325	0.0041995877	0.0012307588	0.0661522	0.4904637	0.07932386	1.0	0.0	0.0	1.7951902	0.0090759825	510000	683.4914150238037
17	0.29166666	0.53845197	2.0	0.0	44.25	47.83239	149.0	0.0	1000.0	22624.0	0.0418962962962963	0.16414088	0.27835846	1.0518031	-0.9154378	3.3299184	4.145666	34.55909	-1.767757	8.381903e-09	-0.0054815207	3.7252903e-09	-0.01958239	0.08626436	-0.02259397	43.952076	-19.13569	0.35457796	0.0	0.0042861444	0.011707654	0.01925	0.0046804603	-0.004197727	0.044687293	0.60506004	0.35457796	1.0	0.0	0.0	1.7820364	0.009147695	540000	723.1370949745178
18	0.125	0.3307189	1.0	0.0	45.0	61.511517	248.0	0.0	1000.0	23836.0	0.04181754385964912	0.12962568	0.24958564	1.1902335	-0.8127272	4.7144146	5.3960357	38.974678	-2.3986301	-7.450581e-09	-0.0065027894	-2.9802322e-08	-0.021329664	0.09651392	-0.03266844	78.86917	-52.425133	0.22885536	0.0	0.0037210807	0.0132440785	0.02	0.0038679393	-0.0029487475	0.059207316	0.5300583	0.22885536	1.0	0.0	0.0	1.7838463	0.009573665	570000	762.6617887020111
19	0.33333334	0.745356	3.0	0.0	28.833334	54.364258	255.0	0.0	1000.0	24607.0	0.04101166666666667	0.08711319	0.30587447	1.2056954	-1.2151121	3.1732829	5.187119	50.79313	-2.8393207	1.8626451e-09	-0.008530768	-1.4901161e-08	-0.0048699905	0.08707821	-0.03339114	41.748985	-28.783392	0.06713318	0.0	0.003971566	0.019560441	0.003833334	0.0039795605	-0.0005169598	0.03342998	0.45060042	0.06713318	1.0	0.0	0.0	1.7749083	0.0090547195	600000	799.5088937282562
20	0.16666667	0.372678	1.0	0.0	28.916666	38.385017	178.0	0.0	1000.0	25344.0	0.040228571428571426	0.114300616	0.30510154	1.2040515	-0.8686085	3.2291763	5.1063056	54.6832	-2.3817344	-3.7252903e-09	-0.009268584	2.9802322e-08	-0.0017619445	0.07706301	-0.025722153	37.371895	-23.046116	0.01950537	0.0	0.0043108957	0.01969104	0.003916666	0.0043259347	0.00086412305	0.04965143	0.4678961	0.01950537	1.0	0.0	0.0	1.7566061	0.00905593	630000	840.2309906482697
