Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.125	0.43898556	2.0	0.0	124.375	157.80415	503.0	0.0	1000.0	3844.0	0.12813333333333332	-0.24722084	0.26369512	1.0091038	-1.6211631	-0.16409047	0.47004825	1.9904327	-1.4529926	7.683411e-09	0.00070804375	-1.7881393e-07	-0.070891686	0.2806545	-0.15195692	547.09296	-378.61517	0.27424997	0.0	0.0058988887	-0.017137911	0.099375	0.0058998335	-0.00050121587	0.2659113	0.0	0.27424997	0.0	0.0	0.0	1.837877	0.008910066	30000	70.46180152893066
1	0.20833333	0.4982609	2.0	0.0	135.70833	186.66582	653.0	0.0	1000.0	7788.0	0.1298	-0.3403063	0.27165082	1.0134196	-1.2789241	9.27706	12.0901165	32.419823	-15.250392	-1.4901161e-08	0.0006763425	-1.4901161e-07	-0.0644698	0.1912742	-0.07160456	207.54356	-108.18201	0.3024499	0.0	0.0073993723	-0.036057994	0.110708326	0.0074194567	-0.0020955128	0.21863669	0.0	0.3024499	0.0	0.0	0.0	1.8342941	0.009105969	60000	144.4248344898224
2	0.041666668	0.1998263	1.0	0.0	89.25	146.49751	558.0	0.0	1000.0	10970.0	0.1218888888888889	-0.37413594	0.37580734	1.993474	-1.3912913	11.5621195	17.32032	44.37953	-17.055445	7.450581e-09	0.0039222185	-5.2154064e-08	-0.059658337	0.1930145	-0.055859543	88.42677	-47.660618	0.33671188	0.0	0.006781168	-0.0034009353	0.06425	0.0074538616	-0.010893446	0.17640588	0.0	0.33671188	0.0	0.0	0.0	1.8311864	0.0090828445	90000	217.85301113128662
3	0.083333336	0.2763854	1.0	0.0	93.791664	126.75732	392.0	0.0	1000.0	13582.0	0.11318333333333333	-0.40571043	0.3376082	1.0741042	-1.334933	8.166935	13.431622	45.34983	-21.685019	2.2351742e-08	0.0019441254	-5.5879354e-08	-0.051540192	0.20671186	-0.061436515	57.524323	-31.217989	0.382074	0.0	0.006900975	-0.014541137	0.068791665	0.007127017	-0.005564958	0.13700455	0.0	0.382074	0.0	0.0	0.0	1.8640466	0.008651655	120000	300.97633051872253
4	0.041666668	0.1998263	1.0	0.0	69.75	113.85746	492.0	0.0	1000.0	15883.0	0.10588666666666667	-0.44669387	0.3687023	1.4131771	-1.6547507	7.0473266	11.443808	44.3399	-10.162652	9.313226e-10	-0.0039031755	-3.7252903e-08	-0.043586638	0.19120619	-0.06485044	70.68748	-42.266796	0.58497685	0.0	0.008262557	0.003643397	0.04475	0.008408656	-0.0042293184	0.12243144	1.5059272	0.58497685	1.0	0.0	0.0	1.8908267	0.008741445	150000	378.81648659706116
5	0.041666668	0.1998263	1.0	0.0	63.5	97.19825	340.0	0.0	1000.0	17551.0	0.09750555555555555	-0.443023	0.25671816	0.62864876	-1.3545685	5.6095266	10.866911	46.59514	-12.111255	1.1175871e-08	-0.009475975	-1.4901161e-08	-0.03574253	0.16661733	-0.047449466	59.76417	-35.4172	0.2828641	0.0	0.009417338	0.008565409	0.0385	0.009523061	0.003701981	0.1296286	1.0485522	0.2828641	1.0	0.0	0.0	1.9099362	0.009597972	180000	447.78787755966187
6	0.083333336	0.2763854	1.0	0.0	42.458332	53.664066	170.0	0.0	1000.0	19025.0	0.09059523809523809	-0.43916836	0.39492053	1.1331133	-1.482437	4.7145905	7.7770534	41.571804	-11.417334	-1.8626451e-09	-0.011719671	-7.450581e-09	-0.016135748	0.15215905	-0.061351206	53.59264	-24.429726	0.11866464	0.0	0.008610279	0.01747281	0.017458333	0.008645333	-0.0020561446	0.12060556	0.70198405	0.11866464	1.0	0.0	0.0	1.9551632	0.009054877	210000	522.9531915187836
7	0.16666667	0.62360954	3.0	0.0	100.083336	153.38838	683.0	0.0	1000.0	21739.0	0.09057916666666667	-0.23965143	0.35827887	0.9258032	-1.1602042	6.1167974	7.092036	31.696903	-9.298135	-1.1175871e-08	0.0023810866	7.4505806e-08	-0.06215125	0.110097736	-0.05356576	187.44641	-127.145966	0.30795223	0.0	0.007979302	-0.0067315297	0.07508334	0.008159129	-0.0061582807	0.21089356	0.0	0.30795223	0.0	0.0	0.0	2.0004063	0.00834456	240000	607.1306858062744
8	0.29166666	0.7347997	3.0	0.0	97.541664	80.84501	262.0	0.0	1000.0	24291.0	0.08996666666666667	-0.18695475	0.32242855	1.0177615	-1.239429	7.935916	10.664035	57.442013	-11.698617	-1.3038516e-08	0.0036863512	0.0	-0.059043065	0.08760137	-0.029045781	119.872955	-60.744186	0.34036884	0.0	0.009214338	-0.010482085	0.07254166	0.009851755	-0.0104900375	0.1726356	0.0	0.34036884	0.0	0.0	0.0	1.9995058	0.008684276	270000	681.9306192398071
9	0.083333336	0.3996526	2.0	0.0	45.291668	52.929573	211.0	0.0	1000.0	25967.0	0.08655666666666667	-0.17164782	0.32362553	0.88893116	-1.0077897	6.221365	8.727648	43.61626	-14.736846	-9.313226e-09	-0.011298827	-5.9604645e-08	-0.02299231	0.10715584	-0.035332087	80.23515	-41.701794	0.14989142	0.0	0.008356853	0.016940797	0.020291667	0.008617474	-0.00592267	0.13459444	0.70235145	0.14989142	1.0	0.0	0.0	2.0023088	0.009177829	300000	751.2275211811066
