Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	83999	-0.07070623	1.127478	4.1864276	-5.8690543	-0.0706399	1.1275166	4.1922007	-5.791257	0.0061348057	0.0075378856	1349.3801290988922
22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	87999	-0.18898486	1.0573666	4.3692675	-5.85379	-0.18910395	1.0574702	4.2083282	-5.694017	0.11651118	0.0077664307	1414.1243286132812
23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	91999	-0.25069016	1.1289436	4.058977	-6.272324	-0.25096247	1.1291802	4.049159	-6.231638	0.14391951	0.009539538	1479.4860351085663
24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	95999	-0.29485166	1.2200832	4.5993853	-6.5774093	-0.2949409	1.2200997	4.5560713	-6.902417	0.17590347	0.009537245	1544.4202687740326
25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	99999	-0.36679864	1.3302286	4.4124084	-7.7606087	-0.36681488	1.3303478	4.6384945	-7.095103	0.25310844	0.008968777	1608.2551600933075
26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	103999	-0.42343438	1.3556603	4.6767526	-7.9405947	-0.42334622	1.3556896	5.710812	-6.170705	0.3035871	0.008885872	1672.6369996070862
27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	107999	-0.47224608	1.3934779	4.497709	-6.4095087	-0.472451	1.3936073	4.9344335	-6.239468	0.3601507	0.0089553585	1736.05038189888
28	0.0	0.0	0.0	0.0	44.25	76.64325	177.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	111999	-0.60679173	1.4022646	4.2934813	-6.8023744	-0.6070446	1.4025271	4.38483	-6.694159	0.5111969	0.00951798	1801.434910774231
29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.0	294.0	980.0	0.0	1000.0	1000.0	115999	-0.72493154	1.3811226	4.0508432	-6.726706	-0.7248236	1.3811758	3.9566252	-7.5552487	0.6256614	0.008331144	1865.6576836109161
30	0.0	0.0	0.0	0.0	96.75	167.57591	387.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	119999	-0.79383713	1.3270077	4.5680237	-6.9819493	-0.7938392	1.3270855	4.4437613	-7.5295076	0.69585633	0.008224271	1929.7265903949738
31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	123999	-0.9387551	1.2776723	4.070173	-7.0478888	-0.9388604	1.2777044	4.2136436	-7.176615	0.85586685	0.009259407	1995.536381483078
