Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.29999998	1.0	0.0	264.5	402.4625	951.0	0.0	1000.0	491.0	3999	0.49469027	0.3066661	1.8679202	-0.37941554	0.49468994	0.30668986	1.8856841	-0.5149958	-1.2214932	0.54811674	1.8273754	-8.009787	-0.56732404	0.0011293188	63.07191038131714
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8	2.3999999	7.0	0.0	408.6	290.11246	739.0	0.0	1000.0	1000.0	7999	1.5921216	0.6159826	4.8891025	-0.18797812	1.5921123	0.61601716	4.919832	-0.168981	-0.90870756	0.8348135	2.6763763	-10.194069	-1.6867021	0.002675635	149.20220923423767
3	2.0	2.4494898	6.0	0.0	68.5	80.65203	204.0	0.0	3.7	3.606938	11.0	0.0	438.4	376.25607	934.0	15.0	1000.0	1000.0	11999	3.13098	1.0851449	11.72598	0.8075371	3.1309593	1.0852331	11.668166	0.79172724	-0.6059389	0.9858227	2.9005961	-10.309045	-3.2468781	0.015811173	232.96293354034424
4	4.75	3.5619516	10.0	0.0	114.5	65.797035	201.0	27.0	4.0	2.6832814	9.0	0.0	322.4	308.00134	896.0	5.0	1000.0	1000.0	15999	4.747121	1.7131923	17.758055	1.0822119	4.7470593	1.7133318	17.649303	1.1340523	-0.40050474	1.1328266	4.918888	-11.464519	-4.8516874	0.043857638	319.62476229667664
5	7.75	2.046338	11.0	6.0	28.25	12.417226	45.0	10.0	3.0	2.7202942	9.0	0.0	329.2	330.92047	827.0	0.0	1000.0	1000.0	19999	6.4522476	2.404443	21.79555	0.9555962	6.452196	2.4047298	21.399519	0.9104005	-0.27030557	1.2120504	5.4558997	-9.055838	-6.5362587	0.06908823	405.18794322013855
6	5.75	1.0897248	7.0	4.0	34.5	21.960192	58.0	7.0	4.8	3.1241	10.0	0.0	227.2	285.85025	930.0	7.0	1000.0	1000.0	23999	7.8632936	2.9198446	22.73294	1.1478142	7.863179	2.920544	24.154512	1.1010454	-0.26222208	1.2300556	6.619543	-11.479361	-7.9242115	0.09625482	490.0264232158661
7	3.75	1.299038	5.0	2.0	176.25	110.11897	345.0	64.0	5.5	3.640055	14.0	1.0	207.9	256.1876	685.0	9.0	1000.0	1000.0	27999	9.018071	3.3143346	25.53857	1.7285988	9.018081	3.3145976	26.084852	1.5044907	-0.15614228	1.3013363	8.038264	-9.188339	-9.075285	0.111194946	574.8374540805817
8	3.5	2.5	7.0	0.0	92.25	75.5029	217.0	15.0	5.8	2.8213472	11.0	3.0	143.5	154.18642	481.0	2.0	1000.0	1000.0	31999	9.894902	3.5188286	28.041395	2.282044	9.89495	3.5189676	28.230356	1.9312352	-0.096611336	1.3331143	7.720507	-10.525859	-9.946095	0.12011402	661.4570453166962
9	6.0	2.5495098	9.0	3.0	132.5	119.644264	322.0	6.0	7.3	3.3481338	12.0	2.0	81.2	121.21782	425.0	0.0	1000.0	1000.0	35999	10.595005	3.4776227	29.748083	2.284989	10.594973	3.4780824	29.326756	2.388468	-0.0873846	1.3202317	7.7154627	-10.088163	-10.632956	0.13512076	746.6313610076904
10	4.25	2.384848	7.0	1.0	115.25	63.156055	194.0	38.0	6.6	3.5270386	11.0	1.0	188.1	251.64796	785.0	1.0	1000.0	1000.0	39999	10.969623	3.5687313	30.671951	2.3648438	10.969595	3.568861	31.487675	2.4436877	-0.12020793	1.3200783	9.879076	-12.17525	-10.992978	0.15351178	831.3722264766693
