Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	mmd_entropy	alpha	Time
24	17.5	2.291288	20.0	14.0	51.0	57.319283	139.0	0.0	15.5	1.5	19.0	13.0	88.1	55.36867	173.0	0.0	1000.0	1000.0	95999	23.373892	23.373857	-23.14801	0.3413455	1.7561737	0.10000002	2741.002905368805
25	17.25	1.47902	19.0	15.0	35.75	23.392038	64.0	0.0	16.6	1.9078784	19.0	13.0	49.8	35.768143	126.0	0.0	1000.0	1000.0	99999	23.420578	23.420546	-23.191984	0.33703893	1.7479473	0.10000002	2875.1369206905365
26	18.0	0.70710677	19.0	17.0	67.25	68.56156	186.0	27.0	15.9	2.547548	21.0	12.0	73.8	57.213287	210.0	0.0	1000.0	1000.0	103999	23.473013	23.472984	-23.24075	0.3445719	1.7544891	0.10000002	3010.9156062602997
27	17.5	2.0615528	20.0	15.0	41.75	48.001953	117.0	0.0	15.5	2.6925824	22.0	13.0	95.9	55.33254	215.0	0.0	1000.0	1000.0	107999	23.475056	23.47508	-23.237648	0.3444498	1.7475114	0.10000002	3146.796444416046
28	15.5	2.598076	18.0	12.0	66.75	47.28306	130.0	0.0	14.9	4.5265884	20.0	3.0	45.8	39.904385	113.0	0.0	1000.0	1000.0	111999	23.53706	23.53708	-23.298937	0.34851107	1.7554895	0.10000002	3281.7587230205536
29	15.5	2.291288	18.0	12.0	100.75	79.64727	224.0	11.0	16.4	2.7276363	20.0	12.0	60.6	57.20874	212.0	0.0	1000.0	1000.0	115999	23.550207	23.550207	-23.306732	0.34370604	1.7503476	0.10000002	3416.791594028473
30	17.25	0.8291562	18.0	16.0	24.5	34.824562	84.0	0.0	17.2	2.2715633	21.0	12.0	55.7	49.274845	134.0	0.0	1000.0	1000.0	119999	23.55571	23.55572	-23.313824	0.353052	1.7672259	0.10000002	3550.8160791397095
31	16.0	2.1213202	19.0	14.0	83.0	59.979164	161.0	0.0	16.6	1.2806249	19.0	14.0	77.2	43.455265	147.0	14.0	1000.0	1000.0	123999	23.63314	23.63309	-23.390024	0.3477263	1.776479	0.10000002	3684.0844416618347
32	15.5	1.118034	17.0	14.0	81.5	8.261355	92.0	72.0	15.7	1.7349352	19.0	13.0	51.5	28.471916	97.0	1.0	1000.0	1000.0	127999	23.703718	23.70371	-23.456928	0.3423335	1.7789348	0.10000002	3818.1937894821167
33	17.5	2.0615528	20.0	15.0	73.0	35.12122	110.0	25.0	16.0	2.5690465	21.0	12.0	73.7	41.997738	124.0	0.0	1000.0	1000.0	131999	23.783895	23.783838	-23.535078	0.341434	1.7783576	0.10000002	3949.8839180469513
34	16.25	0.8291562	17.0	15.0	88.75	23.28492	128.0	67.0	15.7	1.7349352	18.0	12.0	78.6	43.697136	142.0	18.0	1000.0	1000.0	135999	23.835033	23.835127	-23.585934	0.33915007	1.7807349	0.10000002	4082.0291016101837
35	16.25	1.0897248	18.0	15.0	67.0	44.32832	108.0	0.0	16.4	2.3748684	21.0	13.0	48.9	28.53226	89.0	18.0	1000.0	1000.0	139999	23.888117	23.888092	-23.636826	0.3374371	1.7779433	0.10000002	4213.436397314072
36	18.25	0.4330127	19.0	18.0	25.75	19.292162	54.0	1.0	15.7	1.3453624	18.0	13.0	74.8	52.237537	153.0	0.0	1000.0	1000.0	143999	23.93287	23.932858	-23.681496	0.33387986	1.7757951	0.10000002	4344.667022705078
37	17.0	0.70710677	18.0	16.0	49.75	37.850857	106.0	7.0	16.0	2.529822	19.0	11.0	72.6	57.93479	178.0	0.0	1000.0	1000.0	147999	24.01122	24.011267	-23.756813	0.34053138	1.782446	0.10000002	4476.045823812485
38	17.25	0.8291562	18.0	16.0	36.5	31.957003	90.0	11.0	16.3	2.0518284	19.0	14.0	75.4	30.874586	126.0	8.0	1000.0	1000.0	151999	24.037762	24.037762	-23.783808	0.33765697	1.7819663	0.10000002	4606.921159029007
39	17.0	2.5495098	20.0	13.0	42.25	61.14072	147.0	0.0	15.8	1.989975	19.0	13.0	81.6	29.220541	137.0	42.0	1000.0	1000.0	155999	24.085766	24.08582	-23.829645	0.33421642	1.7804244	0.10000002	4736.73903465271
40	14.75	1.47902	17.0	13.0	75.5	26.967573	98.0	31.0	16.6	1.8000001	20.0	13.0	82.7	50.69132	168.0	15.0	1000.0	1000.0	159999	24.100588	24.100628	-23.842691	0.33841455	1.7766937	0.10000002	4866.715154886246
41	17.25	2.384848	20.0	14.0	61.5	49.226517	132.0	7.0	18.1	1.9209372	21.0	15.0	64.0	62.04192	172.0	0.0	1000.0	1000.0	163999	24.092382	24.092268	-23.833515	0.33667848	1.7730285	0.10000002	4996.4974093437195
42	15.25	1.299038	16.0	13.0	69.0	29.274563	102.0	24.0	16.6	1.7435596	19.0	14.0	64.9	38.28694	125.0	0.0	1000.0	1000.0	167999	24.09604	24.09592	-23.83628	0.33873078	1.776188	0.10000002	5126.28787779808
43	17.25	1.6393596	20.0	16.0	55.5	44.679413	119.0	0.0	16.3	1.7916473	18.0	13.0	75.6	39.643917	145.0	23.0	1000.0	1000.0	171999	24.10542	24.105495	-23.845528	0.3369037	1.7723885	0.10000002	5255.836454868317
44	16.5	1.6583124	19.0	15.0	50.25	39.638206	110.0	0.0	16.6	1.4282857	18.0	14.0	57.2	47.471676	139.0	0.0	1000.0	1000.0	175999	24.109123	24.109116	-23.848005	0.33649158	1.7764235	0.10000002	5385.603134155273
45	16.25	0.4330127	17.0	16.0	49.25	17.483921	70.0	24.0	17.3	2.1931713	21.0	14.0	65.2	54.394485	194.0	0.0	1000.0	1000.0	179999	24.143394	24.143444	-23.881378	0.33602613	1.7858555	0.10000002	5515.955274581909
46	18.25	0.4330127	19.0	18.0	33.75	11.233321	50.0	21.0	16.0	1.8973665	19.0	14.0	108.0	49.614513	183.0	26.0	1000.0	1000.0	183999	24.192007	24.191944	-23.928658	0.33312556	1.7859281	0.10000002	5645.4218719005585
