Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
20	14.0	1.2247449	15.0	12.0	41.5	38.874798	108.0	10.0	14.1	1.7	17.0	11.0	88.6	64.603714	227.0	0.0	1000.0	1000.0	79999	11.580275	5.343047	37.228855	-4.073082	11.5802765	5.3428965	35.977108	-3.4359708	-11.712445	0.36708996	1140.548597574234
21	14.25	1.9202864	16.0	11.0	52.5	66.145676	166.0	0.0	14.7	2.1000001	18.0	11.0	58.3	26.98166	120.0	22.0	1000.0	1000.0	83999	11.782134	5.338785	36.774612	-4.0375643	11.782146	5.3382607	36.67364	-4.0864973	-11.911234	0.3681513	1200.9770498275757
22	15.75	1.9202864	18.0	13.0	47.75	49.70098	115.0	0.0	14.3	1.951922	18.0	11.0	74.0	46.995747	153.0	5.0	1000.0	1000.0	87999	11.957591	5.374887	36.452698	-6.3213897	11.957623	5.374687	36.357594	-6.0893946	-12.069949	0.39120057	1258.8741102218628
23	14.5	1.118034	16.0	13.0	84.0	20.161844	112.0	57.0	14.7	2.0518284	18.0	11.0	63.0	71.99722	209.0	0.0	1000.0	1000.0	91999	12.1042385	5.395776	36.134247	-9.908125	12.104251	5.3953724	35.479965	-9.659801	-12.202258	0.39351884	1316.928157567978
24	13.25	2.2776084	17.0	11.0	74.5	47.039875	131.0	27.0	13.6	2.7276363	18.0	7.0	92.0	73.39619	271.0	0.0	1000.0	1000.0	95999	12.236715	5.414046	34.945705	-10.165718	12.2369585	5.4136024	38.29798	-9.325369	-12.346381	0.39659223	1374.8897008895874
25	16.0	0.70710677	17.0	15.0	36.0	31.567389	87.0	1.0	14.3	1.4177446	17.0	11.0	66.9	55.022633	171.0	0.0	1000.0	1000.0	99999	12.333062	5.389499	34.171665	-7.921654	12.333467	5.3887444	35.2993	-8.002919	-12.427473	0.41854274	1433.0651125907898
26	14.75	1.0897248	16.0	13.0	29.25	28.340563	69.0	0.0	14.2	5.0950956	19.0	0.0	63.5	49.244797	143.0	0.0	1000.0	1000.0	103999	12.420353	5.3983297	35.293537	-5.7475724	12.42022	5.398291	35.794342	-6.1370974	-12.522105	0.42721954	1491.238698720932
27	14.0	4.3011627	18.0	7.0	25.75	16.253845	42.0	0.0	14.7	1.4177446	17.0	12.0	68.2	43.62064	129.0	0.0	1000.0	1000.0	107999	12.501435	5.358652	35.215145	-6.705704	12.501416	5.3587523	35.531788	-6.7971406	-12.598883	0.41552147	1549.6848373413086
28	13.75	0.4330127	14.0	13.0	68.0	41.695324	108.0	0.0	14.9	1.7	19.0	13.0	61.6	39.585857	113.0	0.0	1000.0	1000.0	111999	12.589205	5.3121934	35.761658	-7.058063	12.589171	5.3125687	35.353554	-7.465539	-12.69655	0.4281684	1608.7524271011353
29	13.75	1.47902	16.0	12.0	69.25	38.822514	117.0	9.0	14.3	3.4655447	19.0	7.0	35.8	33.8727	113.0	0.0	1000.0	1000.0	115999	12.683669	5.286605	36.872177	-7.6682286	12.683732	5.286183	35.403915	-7.87834	-12.781107	0.43687934	1668.0564396381378
