Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
24	6.5	4.7169905	11.0	0.0	99.25	148.89488	357.0	6.0	6.0	3.193744	11.0	1.0	86.9	67.42321	242.0	4.0	1000.0	1000.0	95999	22.578707	5.1261296	41.959045	-2.1084955	-22.678928	0.3165116	1168.1002745628357
25	5.0	2.9154758	9.0	1.0	269.5	133.3651	436.0	79.0	6.1	5.3188343	15.0	0.0	267.7	229.1899	695.0	2.0	1000.0	1000.0	99999	22.510305	4.954058	40.702263	-2.3434358	-22.604324	0.3140862	1218.4727971553802
26	10.5	2.0615528	13.0	8.0	30.25	16.068214	47.0	4.0	7.0	4.560702	13.0	0.0	169.2	214.61864	710.0	5.0	1000.0	1000.0	103999	22.221207	4.8827205	43.684566	-3.9070663	-22.297874	0.35271963	1268.119124174118
27	3.5	3.5707142	8.0	0.0	185.5	178.93924	453.0	3.0	7.6	4.004997	12.0	0.0	143.1	218.71144	748.0	10.0	1000.0	1000.0	107999	21.613077	4.677549	52.675995	-2.0977893	-21.673918	0.33241725	1318.4364485740662
28	2.5	1.6583124	5.0	1.0	472.75	182.02661	780.0	324.0	5.6	4.2708316	11.0	0.0	240.5	274.22446	937.0	6.0	1000.0	1000.0	111999	21.218452	4.6401963	54.849186	-1.3943359	-21.301647	0.31926623	1368.2655899524689
29	3.5	2.5	7.0	0.0	241.75	238.58057	619.0	35.0	9.1	3.4190643	14.0	4.0	98.1	134.94995	454.0	10.0	1000.0	1000.0	115999	20.8203	4.646381	48.65827	-4.829533	-20.875969	0.31620595	1417.3118929862976
30	5.25	4.81534	11.0	0.0	201.5	177.6633	421.0	5.0	7.8	4.2142615	14.0	0.0	153.3	206.63013	660.0	1.0	1000.0	1000.0	119999	20.340206	4.7778482	36.94121	-11.252529	-20.41514	0.31622896	1466.8662712574005
31	7.25	4.205651	12.0	1.0	125.0	130.91028	345.0	0.0	9.3	3.8999999	14.0	2.0	64.3	79.463264	289.0	0.0	1000.0	1000.0	123999	20.260828	4.8798237	37.389614	-10.868521	-20.34391	0.32139713	1516.6219811439514
32	6.25	4.2646804	11.0	2.0	215.0	185.37125	506.0	32.0	7.5	5.1234756	15.0	0.0	195.0	221.52788	759.0	3.0	1000.0	1000.0	127999	20.320448	4.8891187	37.973083	-5.751484	-20.399738	0.3115172	1566.2371718883514
33	9.25	4.205651	14.0	3.0	49.25	67.064804	164.0	2.0	5.9	3.7	12.0	1.0	285.2	260.09683	867.0	7.0	1000.0	1000.0	131999	20.331074	4.909077	39.593464	-0.32970977	-20.41372	0.3264278	1615.800217628479
