Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	mmd_entropy	alpha	Time
24	16.5	2.598076	18.0	12.0	38.75	38.127254	93.0	0.0	16.2	1.8867962	20.0	13.0	71.6	58.19828	172.0	0.0	1000.0	1000.0	95999	23.484003	23.483877	-23.28122	0.31230903	1.7060649	0.10000002	2579.3035633563995
25	17.0	1.0	18.0	16.0	28.0	17.14643	46.0	0.0	16.1	2.0223749	19.0	13.0	58.2	52.821964	175.0	0.0	1000.0	1000.0	99999	23.60426	23.60409	-23.394583	0.31039184	1.6863105	0.10000002	2684.4581401348114
26	16.0	2.1213202	19.0	13.0	57.0	71.14422	179.0	0.0	16.2	1.9899749	19.0	13.0	68.6	41.497467	117.0	1.0	1000.0	1000.0	103999	23.701607	23.701574	-23.489477	0.31265655	1.6901236	0.10000002	2789.5893223285675
27	17.0	1.8708287	19.0	14.0	24.75	26.051632	61.0	0.0	15.7	2.8653097	19.0	11.0	61.5	32.44765	120.0	19.0	1000.0	1000.0	107999	23.779957	23.77992	-23.56638	0.31013253	1.6874107	0.10000002	2895.438595533371
28	14.0	1.8708287	16.0	11.0	102.0	19.912308	128.0	72.0	17.0	2.236068	21.0	14.0	57.3	35.40353	119.0	0.0	1000.0	1000.0	111999	23.868555	23.868462	-23.651789	0.3148213	1.6953228	0.10000002	3002.0224385261536
29	17.0	3.2403703	21.0	12.0	98.25	48.297905	171.0	37.0	15.8	3.6551335	20.0	6.0	58.3	60.051723	171.0	0.0	1000.0	1000.0	115999	23.936987	23.937038	-23.719368	0.30833873	1.6955806	0.10000002	3108.662615299225
30	16.5	1.6583124	19.0	15.0	20.0	15.921683	38.0	0.0	16.6	2.3748684	20.0	13.0	44.1	41.466732	108.0	0.0	1000.0	1000.0	119999	24.039415	24.039354	-23.819984	0.30638576	1.7031775	0.10000002	3214.0101380348206
31	15.5	2.8722813	20.0	12.0	97.5	80.56209	212.0	0.0	16.5	1.4317821	18.0	14.0	61.6	39.085033	118.0	0.0	1000.0	1000.0	123999	24.103193	24.103203	-23.881989	0.30001056	1.6934223	0.10000002	3319.651960372925
32	15.5	1.118034	17.0	14.0	90.5	17.613914	118.0	69.0	14.9	4.060788	20.0	5.0	52.4	43.639893	134.0	6.0	1000.0	1000.0	127999	24.182632	24.182585	-23.958176	0.3079031	1.7052567	0.10000002	3425.22837638855
33	18.0	2.0	20.0	16.0	49.0	33.608036	87.0	0.0	16.1	2.385372	20.0	13.0	83.1	42.243225	145.0	0.0	1000.0	1000.0	131999	24.25074	24.250792	-24.024792	0.30099034	1.7040621	0.10000002	3530.3861577510834
34	14.5	1.5	17.0	13.0	128.0	39.768078	187.0	83.0	16.6	1.2806249	19.0	15.0	80.0	59.28069	199.0	0.0	1000.0	1000.0	135999	24.242203	24.24211	-24.01312	0.31105852	1.6915535	0.10000002	3636.226688861847
35	16.75	1.7853571	19.0	15.0	32.25	28.367014	67.0	0.0	15.6	3.46987	19.0	6.0	56.2	49.16462	179.0	0.0	1000.0	1000.0	139999	24.240648	24.24055	-24.01066	0.31548926	1.6896293	0.10000002	3742.3440992832184
36	18.25	1.47902	20.0	16.0	34.25	29.192251	71.0	0.0	17.1	2.0223749	19.0	14.0	57.6	47.674313	159.0	14.0	1000.0	1000.0	143999	24.274466	24.274466	-24.043337	0.31670934	1.7041043	0.10000002	3849.112539768219
37	16.0	1.2247449	17.0	14.0	87.0	59.173473	174.0	7.0	15.5	2.2022715	18.0	10.0	89.7	50.628155	205.0	29.0	1000.0	1000.0	147999	24.287333	24.287374	-24.051863	0.31662586	1.6897136	0.10000002	3955.635106563568
38	16.25	3.112475	19.0	11.0	38.25	13.235842	56.0	25.0	16.2	1.0770329	18.0	15.0	78.2	46.216446	163.0	17.0	1000.0	1000.0	151999	24.289385	24.289368	-24.054289	0.31858656	1.7054052	0.10000002	4060.499116420746
39	17.25	3.0310888	21.0	13.0	68.0	59.46848	151.0	0.0	16.3	2.0024984	19.0	13.0	93.3	42.17594	167.0	17.0	1000.0	1000.0	155999	24.318295	24.318295	-24.081125	0.32189295	1.707603	0.10000002	4165.524827718735
40	16.0	1.7320508	19.0	15.0	66.75	29.183685	113.0	38.0	15.8	1.5362291	19.0	14.0	91.6	34.267185	127.0	0.0	1000.0	1000.0	159999	24.327644	24.327673	-24.090618	0.31640106	1.7033032	0.10000002	4272.2808248996735
41	18.0	1.8708287	21.0	16.0	84.75	39.46755	120.0	19.0	17.7	2.1931713	21.0	13.0	58.2	43.938137	125.0	0.0	1000.0	1000.0	163999	24.341715	24.341768	-24.102345	0.3183988	1.7066532	0.10000002	4377.605446815491
42	17.25	3.4186985	23.0	14.0	50.0	32.87096	104.0	23.0	16.4	2.154066	20.0	14.0	70.3	55.21965	168.0	0.0	1000.0	1000.0	167999	24.353308	24.35325	-24.111078	0.32651952	1.6970156	0.10000002	4483.616863965988
43	16.25	1.9202864	19.0	14.0	36.0	22.147234	57.0	0.0	16.6	1.356466	18.0	14.0	62.0	52.509045	170.0	0.0	1000.0	1000.0	171999	24.34539	24.34533	-24.10205	0.3273201	1.7121284	0.10000002	4588.8740265369415
44	17.75	1.299038	19.0	16.0	61.5	43.5	123.0	0.0	17.1	1.7	20.0	14.0	53.4	37.85023	107.0	0.0	1000.0	1000.0	175999	24.384384	24.384348	-24.140837	0.31851187	1.7071123	0.10000002	4694.742399692535
45	17.75	1.9202864	20.0	15.0	47.25	37.95639	87.0	0.0	17.5	2.9068882	22.0	13.0	70.3	56.481945	177.0	0.0	1000.0	1000.0	179999	24.414568	24.414583	-24.170761	0.32592666	1.711892	0.10000002	4799.5979907512665
46	16.75	1.47902	19.0	15.0	42.5	28.120277	85.0	7.0	15.6	2.154066	20.0	13.0	83.7	41.046436	148.0	11.0	1000.0	1000.0	183999	24.456568	24.456558	-24.21123	0.32378948	1.7078404	0.10000002	4906.205268383026
47	17.0	1.7320508	18.0	14.0	51.0	32.519226	95.0	12.0	16.8	1.7776389	19.0	13.0	69.0	32.597546	113.0	0.0	1000.0	1000.0	187999	24.47464	24.474707	-24.228378	0.32039165	1.7041441	0.10000002	5012.231600999832
48	17.75	2.4874685	20.0	14.0	65.25	60.849712	128.0	0.0	16.5	2.8372521	20.0	10.0	48.1	25.49294	94.0	0.0	1000.0	1000.0	191999	24.45826	24.458223	-24.210712	0.32043877	1.7113538	0.10000002	5118.004102230072
49	16.25	1.0897248	18.0	15.0	64.5	18.768324	92.0	39.0	17.3	2.4103942	20.0	12.0	60.1	38.609455	158.0	15.0	1000.0	1000.0	195999	24.500204	24.500175	-24.249805	0.32215795	1.710448	0.10000002	5224.407576799393
50	18.5	2.0615528	21.0	16.0	10.75	15.864662	38.0	0.0	17.1	2.0223749	20.0	14.0	78.2	56.499203	200.0	2.0	1000.0	1000.0	199999	24.4731	24.473116	-24.224157	0.32088196	1.7011253	0.10000002	5329.947278022766
51	16.5	1.118034	18.0	15.0	68.5	22.874659	91.0	33.0	16.2	2.3999999	19.0	12.0	92.1	46.16373	165.0	24.0	1000.0	1000.0	203999	24.485548	24.485548	-24.23489	0.31676883	1.701642	0.10000002	5435.563616991043
52	19.0	1.8708287	22.0	17.0	36.25	23.773672	59.0	0.0	18.0	2.5690465	24.0	15.0	65.4	62.699604	208.0	0.0	1000.0	1000.0	207999	24.488846	24.488913	-24.238247	0.32125708	1.694418	0.10000002	5542.177046298981
53	17.25	0.8291562	18.0	16.0	52.75	29.380053	82.0	9.0	16.6	2.87054	20.0	10.0	52.9	36.960655	117.0	0.0	1000.0	1000.0	211999	24.507195	24.507158	-24.25673	0.31695783	1.6967349	0.10000002	5648.113150596619
54	16.75	1.0897248	18.0	15.0	36.25	31.003023	68.0	0.0	15.8	3.487119	19.0	6.0	46.6	26.833559	95.0	0.0	1000.0	1000.0	215999	24.54147	24.541378	-24.289375	0.32070997	1.6907429	0.10000002	5754.181594133377
55	17.0	2.345208	21.0	15.0	91.75	54.061886	139.0	0.0	17.3	1.9	20.0	14.0	36.1	33.10423	98.0	0.0	1000.0	1000.0	219999	24.528063	24.528042	-24.275827	0.31967923	1.6936004	0.10000002	5859.904755115509
56	16.75	2.58602	21.0	14.0	39.0	31.503967	92.0	10.0	17.5	2.0615528	20.0	14.0	50.5	43.601032	130.0	0.0	1000.0	1000.0	223999	24.534527	24.534508	-24.281052	0.32560393	1.691853	0.10000002	5966.794167041779
