Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
11	0.17857143	0.503812	3.0	0.0	113.28571	122.77997	516.0	0.0	1000.0	88658.0	0.12313611111111111	-0.1361826	0.20846157	1.114561	-0.7478794	11.158574	11.666986	44.05371	-6.317356	6.519258e-09	-0.03758212	3.3527613e-08	-0.08942008	0.08036772	-0.021476684	138.90225	-41.020622	0.09703328	0.0	0.08356797	0.016971197	0.088285714	0.084692635	-0.05379804	2.5734153	2.2190325	0.09703328	1.0	0.0	0.0	10.995986	0.008969463	720000	2527.627767801285
12	0.35714287	1.0424657	7.0	0.0	107.76786	109.03816	466.0	0.0	1000.0	95255.0	0.12212179487179488	-0.093716584	0.15894821	0.6190544	-0.578669	12.083489	13.044041	51.09419	-12.274788	2.7939677e-09	-0.040480144	5.9604645e-08	-0.08786562	0.08790025	-0.019786099	149.84659	-54.45199	0.07474254	0.0	0.08301792	0.017701013	0.08276786	0.08365214	-0.043472152	2.9797995	2.165643	0.07474254	1.0	0.0	0.0	10.98645	0.009012883	780000	2743.953243970871
13	0.32142857	0.8474151	5.0	0.0	126.58929	116.4325	453.0	0.0	1000.0	102775.0	0.12235119047619047	-0.09651887	0.18952595	0.8667309	-0.6971402	11.150462	11.130565	52.958332	-11.159221	-5.5879354e-09	-0.034390602	-8.195639e-08	-0.10159918	0.08405287	-0.017082829	135.23846	-41.561764	0.10721901	0.0	0.07847281	0.015899548	0.101589285	0.07924786	-0.044166926	2.5168893	2.221607	0.10721901	1.0	0.0	0.0	11.001854	0.008955631	840000	2940.23184633255
14	0.30357143	0.652458	3.0	0.0	124.82143	129.02715	439.0	0.0	1000.0	110592.0	0.12288	-0.09883011	0.20174451	0.9511528	-0.6246228	11.526342	11.941992	54.046566	-8.023047	9.313226e-10	-0.03475656	-1.5646219e-07	-0.097833194	0.079278685	-0.018628746	156.82916	-48.18157	0.095149174	0.0	0.07749049	0.016237156	0.099821426	0.077924326	-0.03389429	2.648082	2.1845863	0.095149174	1.0	0.0	0.0	10.981208	0.009062805	900000	3143.6219720840454
15	0.44642857	1.0337111	6.0	0.0	138.58928	122.806725	429.0	0.0	1000.0	118936.0	0.12389166666666666	-0.09196566	0.2065387	1.0553275	-0.60309243	14.063566	13.160077	49.28992	-8.796717	-2.6077032e-08	-0.032289065	1.3411045e-07	-0.11285965	0.09826724	-0.022668032	159.89151	-36.691944	0.11200595	0.0	0.073762335	0.015346214	0.11358928	0.07512667	-0.06150282	2.7724793	2.1923842	0.11200595	1.0	0.0	0.0	10.986429	0.009023143	960000	3366.8771760463715
16	0.39285713	0.9942437	5.0	0.0	134.57143	141.62512	594.0	0.0	1000.0	126867.0	0.12437941176470588	-0.07471943	0.19580369	1.1309426	-0.60885787	13.833993	13.061259	57.647385	-11.758417	-2.7939677e-09	-0.036991753	-2.9802322e-08	-0.11522236	0.08426199	-0.014785405	177.4758	-49.60869	0.103424475	0.0	0.08229106	0.016011836	0.10957143	0.08360725	-0.06294633	3.010382	2.2670221	0.103424475	1.0	0.0	0.0	10.979208	0.008931782	1020000	3590.4818398952484
17	0.48214287	0.9998405	5.0	0.0	134.55357	122.59397	547.0	0.0	1000.0	134927.0	0.12493240740740741	-0.044355087	0.21032281	1.0901839	-0.63296103	12.931475	11.840287	47.60017	-14.721204	-3.7252903e-09	-0.036162604	0.0	-0.11064124	0.09251651	-0.023189459	173.36308	-53.106064	0.100830816	0.0	0.0833329	0.016249701	0.109553576	0.085071616	-0.07459464	3.2002742	2.264569	0.100830816	1.0	0.0	0.0	10.975515	0.008989153	1080000	3816.7586195468903
18	0.32142857	0.6841873	3.0	0.0	147.53572	132.30579	491.0	0.0	1000.0	143485.0	0.1258640350877193	-0.041616153	0.19769447	0.84330344	-0.68755996	13.839624	12.496027	56.430378	-14.221659	-1.6763806e-08	-0.03357735	4.4703484e-08	-0.12053736	0.08670351	-0.023221307	159.46725	-52.708733	0.09517204	0.0	0.07879073	0.015941009	0.12253572	0.08050521	-0.07963785	3.6991954	2.2232058	0.09517204	1.0	0.0	0.0	10.994961	0.009030624	1140000	4030.9773111343384
19	0.19642857	0.51476914	2.0	0.0	115.32143	103.23519	412.0	0.0	1000.0	150735.0	0.1256125	-0.097857274	0.1787292	1.3824233	-0.5507707	12.440102	12.709353	53.866276	-10.147994	1.6996637e-08	-0.0378441	-6.3329935e-08	-0.09178956	0.07459041	-0.01419515	138.4804	-36.40092	0.09137848	0.0	0.079499625	0.017021013	0.09032143	0.08060584	-0.055039827	2.7385023	2.1611745	0.09137848	1.0	0.0	0.0	11.000168	0.008991789	1200000	4250.778782129288
20	0.66071427	1.4177041	8.0	0.0	120.375	108.15689	451.0	0.0	1000.0	157874.0	0.1252968253968254	-0.09825054	0.19859326	1.0348256	-0.59963864	12.424961	11.819826	54.92534	-19.133795	2.0489097e-08	-0.036107097	1.3783574e-07	-0.09376541	0.10542621	-0.025358085	139.46024	-43.471733	0.08010362	0.0	0.07372121	0.016797692	0.095375	0.073992014	-0.027735328	2.8405726	2.0949392	0.08010362	1.0	0.0	0.0	10.999554	0.008996714	1260000	4458.158933639526
21	0.39285713	0.8799061	4.0	0.0	129.26785	104.4912	378.0	0.0	1000.0	165584.0	0.12544242424242424	-0.07227823	0.2331908	1.0675852	-0.585611	12.097512	12.923592	64.05399	-10.685254	0.0	-0.040325984	-2.9802322e-08	-0.10382205	0.11084741	-0.03492575	155.8617	-49.7583	0.07297236	0.0	0.0824891	0.016785963	0.10426785	0.08256193	-0.015695605	3.382594	2.216793	0.07297236	1.0	0.0	0.0	10.981747	0.009021157	1320000	4656.4235663414
22	0.44642857	0.9242689	4.0	0.0	138.71428	123.19681	453.0	0.0	1000.0	173930.0	0.12603623188405796	-0.066643834	0.21679884	1.1366947	-0.6902056	12.5399275	11.0461445	39.66582	-7.894553	1.6763806e-08	-0.031976216	-2.9802322e-08	-0.111925915	0.09465389	-0.029076502	158.10165	-34.57069	0.13006216	0.0	0.07966537	0.014842044	0.11371428	0.081229076	-0.062611476	2.5069885	2.3167968	0.13006216	1.0	0.0	0.0	10.988567	0.009002517	1380000	4861.479707241058
23	0.35714287	0.7659861	4.0	0.0	131.51785	99.85024	411.0	0.0	1000.0	181908.0	0.126325	-0.064846665	0.19446096	1.0338061	-0.6139292	14.666215	12.6216135	54.42481	-14.917532	-7.916242e-09	-0.034793064	-7.450581e-09	-0.10581562	0.077388674	-0.020327296	167.4515	-47.402996	0.10417628	0.0	0.081247516	0.016095426	0.10651785	0.08263082	-0.06340081	2.9058368	2.246745	0.10417628	1.0	0.0	0.0	10.988772	0.008980946	1440000	5078.058583021164
24	0.4642857	0.944236	4.0	0.0	117.33929	111.89875	403.0	0.0	1000.0	188998.0	0.12599866666666668	-0.06282694	0.20076917	1.3861812	-0.5958918	11.652105	12.144072	53.71745	-19.179453	1.3038516e-08	-0.035874046	1.4901161e-08	-0.097328335	0.10787018	-0.0288232	135.41673	-38.704903	0.10780322	0.0	0.07809461	0.016383465	0.092339285	0.0792664	-0.052561186	2.3576558	2.183271	0.10780322	1.0	0.0	0.0	10.978483	0.008961193	1500000	5305.896966457367
25	0.19642857	0.5147691	3.0	0.0	123.55357	95.40121	368.0	0.0	1000.0	196311.0	0.1258403846153846	-0.096066765	0.25281012	1.1387244	-0.8473553	12.709302	11.515713	49.53329	-12.174432	-1.8626451e-09	-0.036711894	7.450581e-09	-0.09550396	0.08531609	-0.034662563	144.20508	-43.11638	0.07134603	0.0	0.08122904	0.01695337	0.098553576	0.0812722	-0.011729913	3.1880496	2.1889086	0.07134603	1.0	0.0	0.0	10.9851885	0.008977169	1560000	5534.566363811493
26	0.32142857	0.9278844	5.0	0.0	132.67857	134.81178	489.0	0.0	1000.0	204584.0	0.1262864197530864	-0.1087551	0.16316986	0.8223839	-0.5737929	12.2314415	11.962508	56.17813	-5.9349513	0.0	-0.038974315	8.940697e-08	-0.11080815	0.08373824	-0.022718232	170.19711	-49.021935	0.09136097	0.0	0.081561916	0.01642746	0.10767858	0.0825483	-0.05658011	3.2454987	2.2282221	0.09136097	1.0	0.0	0.0	10.9740925	0.008994351	1620000	5738.578275442123
27	0.53571427	0.96296203	4.0	0.0	137.98215	115.62029	513.0	0.0	1000.0	212857.0	0.12670059523809524	-0.07782751	0.18520729	0.8775394	-0.6358713	13.84238	12.904201	59.46389	-7.7700863	1.1175871e-08	-0.03566024	0.0	-0.11944938	0.105870865	-0.034093045	161.20848	-47.10299	0.09989984	0.0	0.08026156	0.016084818	0.11298215	0.08191087	-0.07333067	3.2603757	2.2338073	0.09989984	1.0	0.0	0.0	10.980555	0.008961829	1680000	5940.099340200424
28	0.35714287	0.8748177	5.0	0.0	117.05357	109.91822	373.0	0.0	1000.0	220118.0	0.1265045977011494	-0.046457034	0.2337285	1.2593384	-0.64553684	13.604168	12.010622	47.464325	-13.680623	-3.7252903e-09	-0.034548644	-2.9802322e-08	-0.09135969	0.08413164	-0.02256426	146.76805	-46.655922	0.09890284	0.0	0.07782337	0.016688546	0.09205358	0.07897566	-0.05430155	2.5589542	2.1594632	0.09890284	1.0	0.0	0.0	10.968963	0.008939965	1740000	6156.278328895569
29	0.35714287	0.7423075	3.0	0.0	117.44643	122.29398	552.0	0.0	1000.0	227398.0	0.12633222222222223	-0.034146234	0.21294716	1.2871647	-0.7413832	11.040137	10.903466	62.590282	-12.880076	2.4214387e-08	-0.03718877	-4.4703484e-08	-0.08954503	0.082450375	-0.024192926	165.46332	-52.472496	0.08180732	0.0	0.07947378	0.01704919	0.092446424	0.079955205	-0.037340764	2.896269	2.1590369	0.08180732	1.0	0.0	0.0	10.966682	0.0090138465	1800000	6392.546610832214
30	0.32142857	0.73453444	3.0	0.0	139.98215	118.42214	382.0	0.0	1000.0	235913.0	0.12683494623655914	-0.023498232	0.1997493	1.5999528	-0.5908882	14.026279	12.782689	67.17665	-16.244917	-6.519258e-09	-0.03635703	2.2351742e-08	-0.113221675	0.077706635	-0.021453694	202.1668	-65.14274	0.07597376	0.0	0.08375016	0.016779069	0.11498215	0.08448612	-0.054962702	4.104681	2.2341323	0.07597376	1.0	0.0	0.0	10.965006	0.0089734495	1860000	6639.347663164139
