Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
15	0.20833333	0.49826086	2.0	0.0	77.125	86.80645	298.0	0.0	1000.0	32398.0	0.06749583333333334	0.109661005	0.20415239	0.93959326	-0.52084756	7.256837	10.024206	71.88129	-4.6472397	-1.8626451e-09	-0.010868328	1.1920929e-07	0.008576948	0.048513375	-0.02246581	136.52365	-85.861755	0	0	1.8429722	0.0	1.8158486	0.009145377	480000	769.1342451572418
16	0.125	0.59947896	3.0	0.0	43.208332	59.85815	275.0	0.0	1000.0	33623.0	0.06592745098039215	0.105878904	0.22579409	1.0702317	-0.5593328	6.0232553	9.123683	66.883965	-6.0453606	9.313226e-10	-0.010187997	-1.4901161e-08	-0.0056979316	0.047772318	-0.024765635	147.07964	-106.331985	0	0	2.0076106	0.0	1.8206034	0.009157843	510000	817.52991771698
17	0.375	1.0728661	5.0	0.0	49.625	84.350365	318.0	0.0	1000.0	35371.0	0.06550185185185185	0.16410539	0.28062648	1.2256128	-0.956169	5.061287	7.571904	63.735306	-4.964936	0.0	-0.010937384	-8.940697e-08	0.0013246704	0.08130692	-0.032212947	115.03455	-82.67377	0	0	1.7997183	0.0	1.8311348	0.009054355	540000	864.669082403183
18	0.29166666	0.6109533	2.0	0.0	49.416668	46.278065	156.0	0.0	1000.0	37149.0	0.06517368421052631	0.14236218	0.27232933	1.1899945	-0.90598494	5.6416774	9.815728	82.69283	-6.1221023	3.7252903e-09	-0.010569677	-4.4703484e-08	0.014198992	0.060745932	-0.02685271	150.19876	-112.70909	0	0	1.914511	0.0	1.8161024	0.009177607	570000	922.2142825126648
19	0.16666667	0.4714045	2.0	0.0	62.708332	70.60895	210.0	0.0	1000.0	39203.0	0.06533833333333333	0.15233372	0.25158986	1.2422134	-0.7803848	5.9903064	8.882466	64.9066	-7.984294	-6.519258e-09	-0.009994615	-4.4703484e-08	-0.0010206043	0.051931113	-0.025990529	150.15121	-97.13489	0	0	2.0299695	0.0	1.7813017	0.009231901	600000	966.2728357315063
20	0.25	0.8779711	4.0	0.0	59.916668	66.2872	283.0	0.0	1000.0	41074.0	0.06519682539682539	0.11592613	0.2694582	1.2509655	-0.99454254	8.623308	10.736896	74.29961	-3.2314227	3.7252903e-09	-0.010359224	4.4703484e-08	0.00037918892	0.057017036	-0.02470137	97.328064	-58.254257	0	0	1.9268328	0.0	1.7921216	0.008961212	630000	1011.8173053264618
21	0.16666667	0.4714045	2.0	0.0	41.708332	88.56658	441.0	0.0	1000.0	42430.0	0.06428787878787878	0.14432193	0.24519557	1.0504456	-0.7295011	5.00108	7.6604896	63.406536	-7.8939834	1.8626451e-09	-0.010462487	0.0	-0.00049393624	0.06205828	-0.03264702	114.878204	-71.74335	0	0	1.8835471	0.0	1.7919719	0.008947656	660000	1059.98743724823
22	0.20833333	0.49826086	2.0	0.0	46.666668	74.92478	336.0	0.0	1000.0	43796.0	0.06347246376811594	0.18495592	0.26791537	1.1349534	-0.7648831	5.6992254	9.156415	73.53143	-7.357479	-3.7252903e-09	-0.011306324	-2.9802322e-08	-0.0001664022	0.057325922	-0.033330638	130.537	-100.717514	0	0	1.7988826	0.0	1.7858422	0.009222947	690000	1103.9324848651886
23	0.5833333	1.1149241	5.0	0.0	51.916668	52.477703	171.0	0.0	1000.0	45358.0	0.06299722222222222	0.17561066	0.28839388	1.2582074	-0.85021377	5.562906	8.456086	74.107765	-4.821616	-1.6763806e-08	-0.011955237	1.4901161e-08	0.0057007745	0.07468137	-0.036366787	90.852	-61.441216	0	0	1.7133583	0.0	1.7882142	0.00919678	720000	1152.699559211731
24	0.33333334	0.745356	3.0	0.0	42.041668	50.015396	172.0	0.0	1000.0	46649.0	0.062198666666666666	0.17655039	0.30850524	1.6131319	-0.68615216	4.4279027	7.0448103	58.507748	-3.6952422	8.381903e-09	-0.010816354	2.6077032e-08	-0.0042086067	0.07250682	-0.042780697	56.040184	-30.998262	0	0	1.8414422	0.0	1.7831402	0.008875366	750000	1202.5126061439514
