Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
11	0.0	0.0	0.0	0.0	37.732143	74.85259	382.0	0.0	1000.0	36504.0	0.0507	-0.10440915	0.13952383	0.40836817	-1.0495241	3.5854363	3.9499474	56.259037	-27.306807	3.259629e-09	-0.033781685	-1.4901161e-08	-0.012177037	0.08775382	-0.019406829	129.23442	-24.037483	0.019948132	0.0	0.07900622	0.019884102	0.0127321435	0.07901076	-0.0025222816	1.398705	1.9933228	0.019948132	1.0	0.0	0.0	11.046337	0.009073446	720000	2118.819699048996
12	0.0	0.0	0.0	0.0	47.410713	64.76738	262.0	0.0	1000.0	39202.0	0.05025897435897436	-0.07407731	0.11906416	0.37720624	-0.66921884	4.612463	5.3594694	65.566086	-14.524702	3.7252903e-09	-0.034715727	-4.0978193e-08	-0.018871278	0.077395946	-0.016441884	95.19317	-22.840086	0.03022735	0.0	0.080186576	0.019658836	0.022410713	0.08018697	0.00076257245	1.4721366	2.0196307	0.03022735	1.0	0.0	0.0	11.037733	0.008976746	780000	2310.453859806061
13	0.0	0.0	0.0	0.0	55.625	100.01724	383.0	0.0	1000.0	42601.0	0.05071547619047619	-0.093586214	0.14552484	0.42376134	-0.8367297	4.4639807	5.919638	64.22249	-16.806868	5.5879354e-09	-0.032750398	-5.2154064e-08	-0.029157283	0.07326983	-0.016618751	164.95694	-35.5155	0.030900316	0.0	0.06675791	0.019472161	0.030625	0.066759735	0.0017995671	1.7768526	1.8515877	0.030900316	1.0	0.0	0.0	11.030184	0.009029852	840000	2488.787524700165
14	0.0	0.0	0.0	0.0	50.517857	81.52497	304.0	0.0	1000.0	45736.0	0.05081777777777778	-0.043710068	0.10619136	0.40086925	-0.54027706	6.768424	7.428487	58.833954	-13.602219	-3.259629e-09	-0.034120917	-5.9604645e-08	-0.023898255	0.05567185	-0.009969773	166.99234	-47.296165	0.035394106	0.0	0.074829124	0.019645061	0.025517857	0.074953906	-0.015130315	1.8345712	1.9516801	0.035394106	1.0	0.0	0.0	11.017602	0.00898173	900000	2686.051498413086
15	0.017857144	0.13243212	1.0	0.0	62.535713	86.598	350.0	0.0	1000.0	49395.0	0.051453125	-0.057590354	0.10739799	0.3705164	-0.62900054	5.6299047	6.8869724	67.72192	-12.460456	8.381903e-09	-0.034537867	-4.4703484e-08	-0.039098043	0.07037788	-0.009520847	166.14876	-53.619133	0.045418095	0.0	0.07329762	0.019310001	0.037535712	0.07348595	-0.019610059	2.0419295	1.9482908	0.045418095	1.0	0.0	0.0	11.010434	0.008990867	960000	2855.99782705307
16	0.0	0.0	0.0	0.0	31.910715	56.297134	234.0	0.0	1000.0	51220.0	0.050215686274509806	-0.000871875	0.11608251	0.44535506	-0.60790324	5.712946	6.4985867	66.95827	-12.6808195	-4.656613e-10	-0.03847896	-2.9802322e-08	-0.0020156298	0.052972805	-0.016890422	111.136505	-32.54358	0.010962632	0.0	0.075167894	0.019965094	0.0069107153	0.07516974	-0.0015893301	1.3681524	1.940352	0.010962632	1.0	0.0	0.0	11.02164	0.009014013	1020000	3038.5346372127533
17	0.017857144	0.13243212	1.0	0.0	69.03571	112.14372	491.0	0.0	1000.0	55211.0	0.0511212962962963	-0.07435456	0.104294315	0.39886972	-0.49185967	3.4520073	2.748489	36.10077	-11.712069	7.450581e-09	-0.03250587	1.0430813e-07	-0.043102805	0.08129874	-0.016683253	240.5084	-64.37899	0.046475764	0.0	0.07053883	0.019032901	0.044035714	0.070574135	-0.008414443	2.0051143	1.9251369	0.046475764	1.0	0.0	0.0	11.020518	0.00897618	1080000	3220.8557336330414
18	0.0	0.0	0.0	0.0	34.107143	76.00392	345.0	0.0	1000.0	57133.0	0.050116666666666664	-0.05052814	0.123509556	0.38130304	-0.7638406	6.434973	5.9515753	63.914547	-17.893614	0.0	-0.028011901	2.9802322e-08	-0.012109943	0.16910236	-0.04350775	123.58844	-36.951645	0.030517193	0.0	0.06466395	0.019943213	0.009107144	0.06520739	-0.028173428	1.4605657	1.8006675	0.030517193	1.0	0.0	0.0	11.014015	0.009091849	1140000	3400.639545440674
19	0.0	0.0	0.0	0.0	40.857143	81.7082	500.0	0.0	1000.0	59512.0	0.049593333333333336	-0.041134115	0.17105106	0.4750961	-1.377779	3.585924	4.599183	57.193474	-12.13338	9.313226e-09	-0.039545223	2.2351742e-08	-0.0164177	0.06525167	-0.023443403	131.17174	-22.436459	0.018563617	0.0	0.0782412	0.01982213	0.015857143	0.07826078	0.0052612466	1.4136732	1.986747	0.018563617	1.0	0.0	0.0	11.010544	0.0090220235	1200000	3583.5359404087067
20	0.017857144	0.13243212	1.0	0.0	43.607143	80.29069	332.0	0.0	1000.0	62129.0	0.049308730158730156	-0.06862618	0.101145126	0.37881076	-1.2610433	4.678101	3.6225538	54.38851	-14.949428	5.5879354e-09	-0.03628556	9.685755e-08	-0.01932323	0.048215304	-0.010702836	143.95778	-31.743458	0.031272702	0.0	0.07718403	0.019731961	0.018607143	0.07719403	-0.0035940313	1.291699	1.9777828	0.031272702	1.0	0.0	0.0	11.008289	0.008958174	1260000	3786.8827831745148
