Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	13.0	22.51666	52.0	0.0	0.1	0.29999998	1.0	0.0	205.4	319.40857	786.0	0.0	766.75	404.6	3999	0.3886137	0.32187992	1.7298515	-0.7185477	0.38859984	0.32189044	1.7124503	-0.7038729	-0.9868846	0.85290724	3.3970273	-8.311865	-0.47260043	0.0028810718	65.68187594413757
2	0.0	0.0	0.0	0.0	62.0	70.60807	181.0	0.0	1.2	1.1661904	4.0	0.0	446.6	258.15585	839.0	1.0	1000.0	1000.0	7999	1.4726604	0.50533885	4.1387873	-0.65498936	1.4726607	0.5052749	4.224463	-0.7249523	-0.8403265	0.9891976	4.2011213	-8.175299	-1.5646921	0.005520704	154.01478171348572
3	0.5	0.5	1.0	0.0	69.75	63.017357	160.0	0.0	0.8	1.2489997	3.0	0.0	555.1	325.7304	933.0	0.0	1000.0	814.1	11999	2.6311378	0.69440484	14.0407715	-0.95027184	2.6312077	0.69394124	13.735547	-1.3373631	-0.7117262	1.0846243	6.173243	-9.094172	-2.723432	0.021285847	242.6723918914795
4	1.0	1.2247449	3.0	0.0	329.75	217.99814	619.0	16.0	1.8	1.7204651	5.0	0.0	407.8	251.72993	888.0	3.0	1000.0	853.0	15999	3.676471	1.0619462	17.132605	-1.2437147	3.6766925	1.0606024	17.19998	-1.7507632	-0.7408798	1.062734	10.08702	-9.316283	-3.7468364	0.03112446	335.49727177619934
5	1.75	1.299038	3.0	0.0	273.5	78.23842	378.0	197.0	3.1	3.6180108	12.0	0.0	538.6	244.76201	902.0	154.0	1000.0	1000.0	19999	4.312709	1.3478616	16.83111	-2.908859	4.312782	1.3471055	17.702518	-1.9439062	-0.76681775	1.0577587	10.659782	-9.9770355	-4.3705783	0.042171784	426.97335052490234
6	1.25	0.8291562	2.0	0.0	144.25	77.095314	209.0	13.0	2.1	1.7578396	5.0	0.0	377.0	282.75006	821.0	26.0	1000.0	1000.0	23999	4.7823114	1.5830244	20.465137	-1.2827376	4.7822604	1.5829823	20.243002	-1.6179343	-0.7293468	1.0721405	11.203459	-10.468442	-4.8302093	0.050771	520.1213824748993
7	1.75	1.7853571	4.0	0.0	136.0	110.08406	319.0	44.0	2.1	2.2561028	6.0	0.0	465.3	314.94	962.0	5.0	1000.0	1000.0	27999	5.1566453	1.8716433	26.583067	-2.0945349	5.1566167	1.8714008	25.916582	-2.946257	-0.7336228	1.0599247	10.72492	-9.723912	-5.1994004	0.06141332	611.9772670269012
8	1.25	2.1650636	5.0	0.0	316.5	253.6873	663.0	9.0	2.7	2.2825425	8.0	0.0	280.2	316.5662	828.0	0.0	1000.0	1000.0	31999	5.3897877	2.2032595	28.632372	-1.9583564	5.38978	2.203344	28.180313	-2.2368789	-0.73560935	1.068165	6.727131	-9.198781	-5.428438	0.06472924	707.9342525005341
9	3.0	1.5811388	5.0	1.0	189.0	147.82083	384.0	36.0	4.1	4.1581244	13.0	0.0	329.0	245.56302	723.0	0.0	1000.0	927.0	35999	5.605951	2.4560966	26.302174	-2.1647787	5.606042	2.4557683	26.792906	-1.7526187	-0.7406283	1.0681592	9.180159	-8.6890745	-5.6373076	0.075646974	800.9344494342804
10	3.0	2.4494898	7.0	1.0	245.25	93.31231	331.0	100.0	1.4	1.4282856	4.0	0.0	340.0	272.24695	852.0	0.0	1000.0	919.7	39999	5.77632	2.66213	33.197285	-1.7480607	5.776335	2.6621332	32.56236	-2.4272637	-0.70546156	1.0943204	9.026541	-11.41634	-5.804874	0.07632584	892.9885942935944
11	3.0	2.4494898	7.0	1.0	146.0	87.93463	268.0	20.0	3.2	2.6	9.0	0.0	440.2	205.60486	829.0	167.0	1000.0	1000.0	43999	5.9656763	2.8779256	41.46779	-1.6597703	5.965742	2.877713	40.948254	-1.6808155	-0.6345834	1.1606156	11.135772	-10.986483	-5.992786	0.09433531	987.288049697876
12	4.75	3.8324275	9.0	0.0	99.75	94.89303	253.0	0.0	3.1	3.8327534	13.0	0.0	386.8	311.70267	869.0	0.0	1000.0	1000.0	47999	6.221127	3.1982257	44.86133	-2.0566745	6.221131	3.1980326	43.43737	-1.8297935	-0.60084176	1.186466	10.885677	-9.348185	-6.242574	0.10601878	1080.9334797859192
13	4.0	3.082207	8.0	1.0	70.5	92.79413	230.0	0.0	3.4	2.7276363	8.0	0.0	453.0	251.83527	824.0	0.0	1000.0	1000.0	51999	6.3230133	3.4944503	43.277023	-2.522094	6.3230133	3.4940581	43.547836	-2.3624516	-0.58792925	1.1975565	8.538233	-8.850292	-6.33883	0.11746846	1174.582322359085
14	2.5	1.6583124	5.0	1.0	138.5	113.502205	306.0	0.0	4.0	3.4928498	9.0	0.0	479.8	288.40936	788.0	0.0	1000.0	1000.0	55999	6.404418	3.7283378	38.016586	-1.3519177	6.404464	3.7280376	37.96602	-1.4517868	-0.56878716	1.2134305	9.628392	-9.455913	-6.414928	0.12282645	1268.0479409694672
15	1.25	0.8291562	2.0	0.0	324.0	92.63099	423.0	229.0	2.9	3.207803	10.0	0.0	493.0	260.8003	880.0	0.0	1000.0	912.6	59999	6.3945823	3.7920172	32.11087	-1.3091233	6.394596	3.7920055	31.982529	-1.4193883	-0.63288414	1.1593165	6.992723	-8.478608	-6.399741	0.11352028	1359.8967761993408
16	4.75	5.1173725	13.0	0.0	180.5	115.10973	285.0	0.0	3.6	3.5552778	11.0	0.0	430.7	300.91397	975.0	0.0	1000.0	1000.0	63999	6.3108406	3.814166	29.755854	-0.9793784	6.310824	3.8143697	29.933172	-1.5342968	-0.61910236	1.1681621	8.547307	-9.691999	-6.313399	0.115405336	1453.8608684539795
17	5.0	3.535534	9.0	1.0	102.25	59.12434	148.0	1.0	4.5	3.7749171	11.0	0.0	369.4	202.53552	698.0	75.0	1000.0	1000.0	67999	6.3125587	3.876248	34.753075	-2.678804	6.3125067	3.8764303	34.894367	-2.3403404	-0.5763151	1.2015136	7.0547037	-9.255482	-6.313309	0.122875094	1549.7028217315674
18	3.75	2.6809514	8.0	1.0	263.0	81.470856	374.0	150.0	4.2	2.6	8.0	0.0	543.1	167.35617	920.0	365.0	1000.0	1000.0	71999	6.257601	3.9294732	39.583023	-1.9432871	6.2576394	3.9293337	41.148754	-2.071505	-0.57118833	1.2068667	9.131526	-8.814257	-6.2520576	0.13081405	1643.4458005428314
