Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	2.25	3.8971143	9.0	0.0	1.8	1.8867961	6.0	0.0	76.6	81.05948	258.0	0.0	1000.0	655.7	3999	0.112433076	0.18205768	1.1195475	-0.58753926	-0.12952445	0.00018296287	33.56361365318298
2	0.0	0.0	0.0	0.0	37.0	64.08588	148.0	0.0	1.2	1.077033	3.0	0.0	126.5	138.18484	488.0	0.0	1000.0	1000.0	7999	0.6857011	0.49082708	2.4244967	-0.7553419	-0.7521003	0.00036954464	78.38066482543945
3	1.0	1.2247449	3.0	0.0	81.5	54.577927	152.0	0.0	3.2	2.8213472	8.0	0.0	167.8	95.440865	345.0	47.0	1000.0	1000.0	11999	1.8441026	0.58698356	12.620833	0.1851793	-1.9238733	0.004079826	126.67990231513977
4	7.75	2.8613808	11.0	4.0	57.25	38.00247	117.0	14.0	9.0	1.8439089	11.0	5.0	86.1	40.864285	152.0	16.0	1000.0	1000.0	15999	3.2915213	1.7510465	22.710087	-0.83845025	-3.3907657	0.042912398	173.13207983970642
5	10.0	2.738613	13.0	6.0	78.0	6.041523	84.0	68.0	9.9	2.3430748	15.0	7.0	73.8	42.421223	150.0	0.0	1000.0	990.7	19999	6.0364194	3.4373908	27.901716	-1.1730285	-6.1864586	0.06563858	220.5705714225769
6	8.25	4.81534	12.0	0.0	56.75	60.113953	156.0	0.0	4.8	3.1241	8.0	1.0	93.5	57.915886	234.0	35.0	777.0	1000.0	23999	9.259108	4.475452	34.477875	-0.9862238	-9.44024	0.10898689	269.600638628006
7	9.0	2.9154758	11.0	4.0	62.75	18.321777	81.0	34.0	11.8	1.7776388	16.0	10.0	45.1	47.955082	135.0	0.0	1000.0	1000.0	27999	12.865668	5.133925	41.374577	-1.076833	-13.070278	0.16700406	318.3266878128052
8	11.75	1.6393596	13.0	9.0	53.5	64.12683	157.0	0.0	10.9	2.426932	14.0	5.0	50.0	25.487251	86.0	15.0	1000.0	981.7	31999	16.305553	5.3603296	43.22529	-2.028208	-16.505028	0.21963748	368.80415058135986
9	9.25	2.1650636	12.0	6.0	71.25	19.67708	91.0	39.0	11.8	1.8330303	15.0	9.0	39.0	28.924038	81.0	0.0	1000.0	1000.0	35999	19.651524	5.427566	45.388454	3.5922067	-19.880625	0.26991767	417.4663598537445
10	7.75	4.43706	13.0	2.0	105.75	122.36089	314.0	0.0	7.2	4.621688	13.0	1.0	22.9	16.931923	49.0	0.0	1000.0	923.6	39999	22.557552	5.2163873	57.08407	4.0831985	-22.776358	0.3066128	465.6460859775543
11	5.5	3.354102	11.0	2.0	72.0	93.62959	233.0	0.0	12.5	0.92195445	14.0	11.0	40.5	22.99239	72.0	0.0	1000.0	1000.0	43999	24.58096	5.3723783	69.17485	3.0938656	-24.759722	0.34975037	514.1208744049072
12	10.75	2.772634	14.0	8.0	43.25	28.012274	91.0	20.0	11.8	1.5362291	14.0	9.0	59.3	42.45009	149.0	0.0	1000.0	1000.0	47999	25.668413	5.3615065	74.01157	2.9775295	-25.840988	0.33389097	562.5251624584198
13	11.0	1.2247449	13.0	10.0	63.0	13.6565	77.0	42.0	12.1	1.5779735	15.0	10.0	74.0	38.136597	144.0	13.0	1000.0	1000.0	51999	26.613094	5.1719112	61.40904	3.2850103	-26.768364	0.32031074	610.796863079071
14	11.0	0.70710677	12.0	10.0	65.75	22.43184	92.0	43.0	11.6	1.356466	14.0	9.0	48.9	33.055862	117.0	0.0	1000.0	1000.0	55999	27.557817	5.0748453	57.806164	2.053492	-27.721674	0.3198753	658.9992628097534
15	10.25	1.0897248	12.0	9.0	82.5	31.316929	126.0	48.0	10.8	2.8913665	14.0	3.0	98.3	140.80771	513.0	0.0	1000.0	1000.0	59999	28.42625	4.877064	53.78973	2.3723392	-28.592442	0.32134485	707.7565205097198
16	10.2	4.2142615	14.0	2.0	47.0	38.366653	96.0	0.0	12.3	1.7349352	16.0	10.0	48.4	38.9646	115.0	0.0	848.0	1000.0	63999	29.228306	4.7279644	52.23905	1.0378733	-29.38916	0.33200297	756.4236319065094
17	12.75	1.0897248	14.0	11.0	33.75	21.04014	69.0	15.0	11.0	3.1622777	13.0	2.0	50.5	36.560226	119.0	0.0	1000.0	956.7	67999	29.816545	4.5625186	51.9537	0.5513611	-29.958836	0.316358	804.447557926178
18	9.25	2.046338	11.0	6.0	65.25	28.44622	96.0	33.0	12.6	1.56205	15.0	10.0	60.5	33.1881	108.0	12.0	1000.0	1000.0	71999	30.09684	4.37984	50.0206	-2.767037	-30.230492	0.30183163	853.0181539058685
19	9.5	2.6925824	13.0	6.0	21.0	21.011902	43.0	0.0	7.4	4.363485	16.0	2.0	88.5	181.61015	629.0	0.0	1000.0	1000.0	75999	30.2108	4.3106227	56.80975	-3.3006043	-30.342484	0.27760383	901.1485784053802
20	12.25	2.6809514	15.0	8.0	35.75	23.899529	58.0	0.0	9.4	4.2237425	14.0	1.0	40.7	30.235905	91.0	0.0	1000.0	1000.0	79999	30.426065	4.2561884	56.454876	-0.6586702	-30.55377	0.2531545	952.0438892841339
21	9.75	4.0233693	14.0	4.0	70.25	95.504906	232.0	0.0	12.4	1.1135529	15.0	11.0	49.5	16.157042	68.0	26.0	1000.0	1000.0	83999	30.45203	4.180355	51.295048	-1.7862593	-30.569118	0.2440589	1003.278701543808
22	12.5	2.598076	14.0	8.0	50.75	44.907543	107.0	0.0	12.5	1.2041595	15.0	11.0	62.3	37.81018	128.0	12.0	1000.0	1000.0	87999	30.362238	4.1904135	51.035507	-0.70199907	-30.471445	0.23705487	1055.300618171692
23	11.0	1.2247449	12.0	9.0	57.0	34.154064	94.0	5.0	12.9	1.6401219	15.0	10.0	34.7	30.209435	104.0	5.0	1000.0	1000.0	91999	30.25062	4.1375623	50.87183	2.2346015	-30.356	0.22687955	1107.9043953418732
24	14.25	1.299038	16.0	13.0	40.0	23.227139	57.0	0.0	12.3	1.1	14.0	11.0	61.3	31.852942	100.0	0.0	1000.0	1000.0	95999	30.232777	4.0555563	51.8641	0.7154981	-30.342686	0.22066757	1159.950623035431
25	13.25	1.47902	15.0	11.0	35.25	25.459526	65.0	0.0	10.2	3.4292858	13.0	3.0	29.9	26.216215	92.0	0.0	1000.0	1000.0	99999	30.24841	4.063067	52.412937	-2.9057863	-30.350674	0.20695531	1212.521457195282
26	13.25	1.299038	15.0	12.0	23.5	17.670597	47.0	0.0	12.8	1.5362291	15.0	10.0	60.5	50.51584	169.0	0.0	1000.0	1000.0	103999	30.133776	4.099389	52.548695	-1.8689985	-30.229311	0.20630954	1264.523502588272
27	12.5	0.8660254	13.0	11.0	33.25	26.470503	78.0	9.0	11.6	1.4282857	14.0	10.0	54.3	27.709385	90.0	0.0	1000.0	1000.0	107999	30.100977	4.1356945	58.22127	-2.9423602	-30.200861	0.21506673	1317.198114156723
28	13.75	1.299038	15.0	12.0	25.25	19.904459	57.0	2.0	13.1	0.83066237	15.0	12.0	50.3	31.7838	111.0	15.0	1000.0	1000.0	111999	30.134733	4.154163	60.575634	-4.323355	-30.232388	0.22176419	1369.540236711502
29	11.5	1.5	14.0	10.0	46.75	7.01338	56.0	39.0	12.4	1.356466	15.0	10.0	60.6	39.27391	115.0	0.0	1000.0	1000.0	115999	30.186115	4.089087	62.714897	-5.5936284	-30.284613	0.21313994	1421.3937635421753
30	14.0	1.5811388	16.0	12.0	51.5	42.5	118.0	6.0	12.7	1.0049876	14.0	11.0	45.6	30.604574	110.0	0.0	1000.0	1000.0	119999	30.18896	4.089008	70.29015	-2.4405637	-30.282059	0.21232854	1473.7677416801453
31	12.25	3.6314597	18.0	8.0	55.5	38.66846	106.0	0.0	12.1	1.4456832	14.0	10.0	52.7	27.914333	92.0	11.0	1000.0	1000.0	123999	30.191122	4.123083	77.12286	-1.7746923	-30.28431	0.21329977	1525.7080824375153
