Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.0	0.0	0.0	0.0	30.625	61.08471	220.0	0.0	1000.0	2009.0	0.03348333333333333	-0.14501886	0.6384801	2.5767152	-2.6228745	0.05749017	0.7716374	2.8510785	-2.698376	-1.6298145e-08	-0.040499054	5.9604645e-08	-0.00590387	0.5356326	-0.4097702	122.96997	-32.020844	0.006331159	0.0	0.08308491	0.019965112	0.005625	0.08312115	0.005732968	0.9069273	2.0399766	0.006331159	1.0	0.0	0.0	11.027262	0.008955507	60000	162.8106029033661
1	0.0	0.0	0.0	0.0	33.267857	61.5724	260.0	0.0	1000.0	3872.0	0.032266666666666666	-0.081969075	0.12712935	0.6192469	-0.7330382	2.633179	4.546102	22.208445	-13.0563135	1.3504177e-08	-0.03778768	-4.4703484e-08	-0.0063170027	0.09528527	-0.0159908	84.317635	-29.112438	0.015503386	0.0	0.08107086	0.019930402	0.008267856	0.081073	0.0014479839	0.9821772	2.0168536	0.015503386	1.0	0.0	0.0	11.020574	0.0089910645	120000	322.84395933151245
2	0.0	0.0	0.0	0.0	26.714285	57.711014	220.0	0.0	1000.0	5571.0	0.03095	-0.08321793	0.108684495	0.40733618	-0.5808643	3.894006	5.5176497	33.54653	-10.20057	9.313226e-09	-0.033866584	5.9604645e-08	-0.0025164532	0.11756215	-0.017076861	103.961365	-37.787655	0.0225551	0.0	0.07549137	0.019997489	0.0017142849	0.075946	-0.023067184	1.1703761	1.9429468	0.0225551	1.0	0.0	0.0	11.017781	0.008992669	180000	519.1333427429199
3	0.0	0.0	0.0	0.0	27.5	48.422985	188.0	0.0	1000.0	7111.0	0.029629166666666668	-0.12207511	0.116787694	0.4265822	-0.6893055	2.8497531	5.7616806	41.758347	-13.708795	-1.2572855e-08	-0.012109805	2.2351742e-08	-3.4675468e-06	0.10850106	-0.015451286	77.290924	-29.378178	0.012597927	0.0	0.075100556	0.019995084	0.0025	0.075198725	-0.01117207	1.2714107	1.9380276	0.012597927	1.0	0.0	5.0	11.025661	0.0009625558	240000	651.3489038944244
4	0.017857144	0.13243212	1.0	0.0	31.339285	71.964836	341.0	0.0	1000.0	8981.0	0.029936666666666667	-0.131088	0.12919562	0.36390066	-0.7425772	2.699126	3.7305381	42.18249	-6.966795	-2.3283064e-09	-0.034741383	-2.2351742e-08	-0.005412465	0.088250056	-0.01435957	98.941956	-39.218296	0.013953084	0.0	0.079893455	0.01996037	0.006339285	0.07989558	-0.0014661726	1.0140316	2.000651	0.013953084	1.0	0.0	0.0	11.03104	0.0090304185	300000	832.6477952003479
5	0.0	0.0	0.0	0.0	33.517857	76.751686	352.0	0.0	991.2679	11118.0	0.030883333333333332	-0.07206549	0.12022682	0.38038898	-0.6370548	3.0973904	6.297801	48.29	-8.436765	-8.8475645e-09	-0.022651948	4.4703484e-08	-0.021591742	0.2824008	-0.041838504	141.96219	-74.47776	0.04651221	0.0	0.19536091	0.019955216	0.008592891	0.19686519	-0.049801722	1.6487703	3.1288922	0.04651221	1.0	0.0	0.0	11.01631	0.008379275	360000	1017.064656496048
6	0.0	0.0	0.0	0.0	27.267857	58.060158	244.0	0.0	1000.0	12913.0	0.030745238095238096	-0.161325	0.19191138	0.53402287	-1.2882825	2.8420022	7.4112754	55.574074	-15.1042185	1.0244548e-08	0.0	1.4901161e-08	0.0	0.17559077	-0.0346624	105.05024	-46.050446	0.0030260812	0.0	0.07701922	0.019996654	0.0022678566	0.07701925	-0.0002014681	1.537385	1.9625508	0.0030260812	1.0	0.0	9.0	11.014257	1.1920929e-07	420000	1178.7434225082397
7	0.017857144	0.13243212	1.0	0.0	18.125	40.845993	224.0	0.0	1000.0	14005.0	0.029177083333333333	-0.12043717	0.17651418	0.5354082	-0.93473846	3.0939918	6.595084	57.79939	-8.783436	9.778887e-09	-0.03676637	7.8231096e-08	0.00032398268	0.08665551	-0.018276673	65.24265	-32.20643	0.0	0.0	0.07588083	0.01996425	-0.006875	0.07590331	0.005451395	1.3220774	1.9481184	0.0	2.0	0.0	0.0	11.014257	0.008987315	480000	1370.190528869629
8	0.017857144	0.13243212	1.0	0.0	33.714287	75.858826	453.0	0.0	1000.0	15973.0	0.02957962962962963	-0.13606445	0.12624484	0.45218447	-0.6985987	2.1258895	4.174064	56.417183	-8.096867	1.0477379e-08	-0.034168817	4.4703484e-08	-0.006681507	0.117487065	-0.015630834	112.19365	-57.549767	0.0077378303	0.0	0.07841478	0.019936113	0.008714287	0.078469776	0.008085138	1.1886435	1.9832557	0.0077378303	1.0	0.0	0.0	11.022732	0.008993088	540000	1537.4352445602417
9	0.0	0.0	0.0	0.0	46.714287	99.20554	488.0	0.0	1000.0	19036.0	0.03172666666666667	-0.106144965	0.13984531	0.4118649	-0.6997511	3.3665063	7.132421	62.980556	-7.006	-7.450581e-09	-0.035987854	4.8428774e-08	-0.023440503	0.06451097	-0.012839319	195.78973	-97.340965	0.021646328	0.0	0.07205672	0.01981391	0.021714287	0.07212798	-0.013437669	2.5337763	1.9070064	0.021646328	1.0	0.0	0.0	11.013935	0.009025739	600000	1725.2916412353516
