Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
17	15.0	2.236068	18.0	12.0	32.75	24.99375	68.0	0.0	14.8	1.8330303	18.0	12.0	59.2	32.6	108.0	0.0	1000.0	1000.0	67999	15.966172	4.573815	33.341305	-2.9434352	15.966174	4.5736637	32.3616	-3.4295096	0.3183558	1.4273034	11.093819	-9.698487	-15.908764	0.21667133	1580.775357723236
18	14.0	1.2247449	16.0	13.0	71.25	25.606396	106.0	37.0	14.3	1.9	17.0	12.0	81.1	40.421406	148.0	0.0	1000.0	1000.0	71999	16.18803	4.588949	34.491344	-3.7034154	16.1881	4.5884433	34.529396	-3.1751485	0.3258075	1.4278064	9.665361	-10.6624155	-16.123264	0.22528516	1677.2471015453339
19	12.25	0.8291562	13.0	11.0	56.0	49.071377	136.0	12.0	14.7	2.1	18.0	11.0	68.5	51.72475	179.0	0.0	1000.0	1000.0	75999	16.35404	4.5980997	36.531277	-3.3558602	16.354046	4.598153	37.200665	-2.9587352	0.31519675	1.4150652	7.750532	-11.3841095	-16.287266	0.22699255	1773.1848030090332
20	15.75	2.772634	18.0	11.0	37.5	36.142082	95.0	0.0	14.0	1.67332	17.0	12.0	71.0	51.40039	167.0	0.0	1000.0	1000.0	79999	16.520596	4.594635	37.5452	-6.5123525	16.52053	4.594575	37.14773	-2.968274	0.33969176	1.4334303	12.329681	-11.821982	-16.446278	0.24376749	1869.2784345149994
21	14.5	1.118034	16.0	13.0	22.5	16.948452	43.0	0.0	15.0	2.04939	20.0	12.0	62.2	58.29031	197.0	0.0	1000.0	1000.0	83999	16.607803	4.589769	38.778618	-3.0743268	16.607777	4.589601	39.89432	-2.8589504	0.32189342	1.4206508	8.251769	-12.204049	-16.52968	0.24093966	1964.499624967575
22	15.5	2.1794496	18.0	12.0	41.75	37.962975	91.0	0.0	15.5	2.1095023	19.0	13.0	66.7	48.981728	158.0	0.0	1000.0	1000.0	87999	16.700754	4.5964293	44.232723	-2.7888048	16.700848	4.5961194	43.628975	-1.5998439	0.32584518	1.4133289	11.489105	-10.064971	-16.618824	0.24308817	2059.9814240932465
23	12.0	0.70710677	13.0	11.0	88.25	38.316936	141.0	46.0	16.5	2.0124612	21.0	14.0	47.2	32.353672	107.0	0.0	1000.0	1000.0	91999	16.77196	4.604983	52.942764	-2.8804839	16.771976	4.6051254	51.172764	-3.8813562	0.32711777	1.4152303	7.950363	-10.087657	-16.686571	0.2505147	2155.7378046512604
24	16.5	1.6583124	19.0	15.0	40.25	24.169971	74.0	14.0	14.4	1.6248077	16.0	12.0	68.8	47.161	120.0	0.0	1000.0	1000.0	95999	16.832932	4.631714	66.610954	-1.5484822	16.832975	4.631548	71.196014	-2.7260232	0.35431683	1.4246382	10.124482	-12.31472	-16.744762	0.26555762	2250.8023779392242
25	15.5	1.118034	17.0	14.0	64.5	35.10342	118.0	22.0	15.2	1.6	18.0	13.0	74.5	45.64044	180.0	32.0	1000.0	1000.0	99999	16.817116	4.6536527	71.86823	-3.9650476	16.817116	4.6538205	73.00252	-4.4776535	0.34347615	1.416417	11.204164	-11.046249	-16.724274	0.28087774	2346.2926108837128
26	15.25	2.4874685	17.0	11.0	42.75	36.87394	93.0	0.0	15.5	1.8027756	18.0	13.0	56.8	34.69236	121.0	0.0	1000.0	1000.0	103999	16.799406	4.6928835	80.635254	-4.0290956	16.799301	4.69293	80.6381	-4.083618	0.32224616	1.4067805	11.223339	-9.385792	-16.70135	0.30216396	2441.2580890655518
27	14.25	2.2776084	18.0	12.0	50.25	36.444305	100.0	0.0	14.6	2.57682	19.0	11.0	65.2	35.71778	123.0	0.0	1000.0	1000.0	107999	16.76338	4.7213273	89.23157	-3.0967784	16.763466	4.7215767	87.14523	-3.9910533	0.34239185	1.413324	12.595655	-11.67507	-16.663994	0.29095465	2536.6340007781982
28	12.0	1.8708287	14.0	9.0	92.0	26.84213	123.0	58.0	15.8	2.1817424	19.0	12.0	66.0	44.53987	138.0	0.0	1000.0	1000.0	111999	16.73372	4.74785	92.96448	-3.0307527	16.733746	4.7475615	107.79785	-2.6455584	0.34920794	1.4153302	9.879885	-9.974285	-16.63288	0.31468195	2632.7577216625214
29	16.0	1.0	17.0	15.0	21.5	8.077747	30.0	12.0	15.0	2.6457512	21.0	12.0	51.6	62.25464	190.0	0.0	1000.0	1000.0	115999	16.71476	4.744983	87.230316	-2.994461	16.714752	4.744762	87.74104	-4.2873497	0.34256837	1.4099547	10.8084955	-11.264918	-16.612011	0.2827717	2728.798369407654
30	14.25	0.8291562	15.0	13.0	71.5	41.572227	117.0	5.0	15.9	1.8138357	18.0	12.0	38.4	34.8	96.0	0.0	1000.0	1000.0	119999	16.70464	4.7296014	96.646996	-2.2412906	16.704693	4.7300324	102.12274	-2.732274	0.33790454	1.4043005	11.044695	-10.262391	-16.598768	0.30744925	2825.240084171295
31	13.25	1.9202864	16.0	11.0	74.75	52.3038	130.0	0.0	15.4	1.9078784	18.0	11.0	35.7	26.229944	93.0	10.0	1000.0	1000.0	123999	16.64819	4.768768	106.285225	-1.9837805	16.648287	4.768052	103.84506	-2.1263075	0.3315081	1.4018159	9.250424	-9.440998	-16.539461	0.29895303	2921.0562076568604
32	13.25	2.046338	15.0	10.0	73.75	42.008183	131.0	13.0	15.3	1.9	19.0	13.0	59.8	48.966927	140.0	0.0	1000.0	1000.0	127999	16.618578	4.74357	99.88575	-2.0764155	16.618574	4.7437377	102.47086	-1.7451395	0.35386553	1.3975708	10.070969	-9.430455	-16.508211	0.32572377	3016.6324911117554
33	14.25	2.58602	17.0	10.0	51.0	73.515305	178.0	0.0	16.2	1.6613249	19.0	13.0	63.8	44.546154	118.0	0.0	1000.0	1000.0	131999	16.54155	4.8932905	138.82544	-1.405129	16.54156	4.8935623	139.2583	-1.7684401	0.34866562	1.4051784	13.091438	-11.188993	-16.428864	0.39020574	3112.703460454941
34	13.25	0.8291562	14.0	12.0	68.75	26.630575	93.0	25.0	14.8	1.4	17.0	12.0	87.7	45.323395	162.0	23.0	1000.0	1000.0	135999	16.446545	5.3629136	170.75583	-2.1152606	16.44653	5.361572	161.51949	-2.6657774	0.36227348	1.4004115	11.516525	-10.295687	-16.329376	0.44919628	3208.617401123047
35	14.25	1.7853571	16.0	12.0	45.0	32.596012	99.0	16.0	15.4	1.7435596	20.0	14.0	67.7	49.390385	170.0	0.0	1000.0	1000.0	139999	16.323395	5.452938	186.23337	-1.3401319	16.323374	5.4525523	176.3459	-1.5471127	0.37240547	1.4054796	10.71902	-11.650024	-16.204237	0.4384267	3304.455236673355
36	15.25	1.299038	16.0	13.0	59.5	42.55291	125.0	17.0	15.4	2.2449944	19.0	12.0	73.1	41.589542	151.0	6.0	1000.0	1000.0	143999	16.234985	5.3993616	170.76582	-2.6055536	16.235025	5.3994927	173.06091	-1.7811742	0.35787418	1.4001821	10.917966	-10.939179	-16.114422	0.4531201	3399.9675376415253
37	15.25	1.6393596	18.0	14.0	61.5	43.119022	109.0	10.0	13.8	2.0880613	18.0	11.0	63.3	40.608006	135.0	6.0	1000.0	1000.0	147999	16.187475	5.4953837	167.78642	-1.9637564	16.187494	5.4956455	172.32037	-2.2139957	0.33262628	1.388157	12.610705	-12.737148	-16.064756	0.42920217	3495.9136741161346
38	13.5	1.5	15.0	12.0	49.75	42.868256	117.0	12.0	15.1	1.3747727	17.0	13.0	74.9	39.090794	146.0	17.0	1000.0	1000.0	151999	16.12499	5.4044437	160.41637	-1.9588394	16.124933	5.4039707	167.54468	-3.6252382	0.37070048	1.3878665	12.961493	-11.678194	-16.005322	0.46098182	3592.4866981506348
39	16.5	2.291288	20.0	14.0	38.0	30.405592	83.0	5.0	14.5	1.2845232	16.0	12.0	69.8	34.4755	123.0	6.0	1000.0	1000.0	155999	16.11641	5.9437003	220.82156	-2.882121	16.116259	5.943997	219.03381	-2.6308498	0.3487501	1.3820357	13.578605	-10.779277	-15.991319	0.5382687	3687.842472076416
40	13.75	1.0897248	15.0	12.0	93.25	40.17073	128.0	30.0	13.7	5.001	18.0	0.0	66.3	47.757828	141.0	0.0	1000.0	1000.0	159999	16.056038	6.1882277	223.23422	-3.562384	16.05602	6.1893177	235.36194	-2.1915631	0.3758271	1.3874594	13.758341	-11.686735	-15.931442	0.515818	3783.6472284793854
41	14.75	0.8291562	16.0	14.0	68.25	63.487694	167.0	5.0	14.4	2.7276363	19.0	10.0	75.2	69.36397	203.0	0.0	1000.0	1000.0	163999	16.022942	6.5436144	235.21445	-1.8556529	16.023077	6.5410175	242.42676	-1.4964216	0.35146177	1.3779498	14.429169	-9.4981575	-15.8974695	0.6647564	3879.2344946861267
42	15.75	1.9202864	19.0	14.0	15.75	5.53963	24.0	9.0	15.2	2.6758175	19.0	10.0	63.2	44.485504	112.0	0.0	1000.0	1000.0	167999	16.003931	6.861043	249.98764	-2.1988115	16.0041	6.86122	251.56396	-1.2520033	0.34901667	1.3814977	14.567754	-12.185096	-15.877555	0.6679604	3975.631964445114
