Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	mmd_entropy	alpha	Time
24	8.25	5.2618914	14.0	3.0	69.0	84.27633	213.0	1.0	4.9	6.007496	18.0	0.0	20.5	30.193542	81.0	0.0	1000.0	1000.0	95999	12.556768	12.55673	-12.3761835	0.7185457	2.549048	0.10000002	2972.2675852775574
25	7.0	3.9370039	13.0	2.0	81.25	66.29621	196.0	39.0	3.3	2.3259406	8.0	0.0	61.5	59.644363	193.0	0.0	1000.0	1000.0	99999	12.676969	12.676955	-12.494907	0.7468284	2.5896893	0.10000002	3097.820604801178
26	10.25	3.8971143	14.0	4.0	118.0	148.09625	371.0	0.0	6.9	2.7730849	10.0	0.0	93.8	97.27364	378.0	27.0	1000.0	1000.0	103999	12.858638	12.858566	-12.672639	0.7739214	2.5408657	0.10000002	3224.982084751129
27	5.75	3.8971143	12.0	2.0	170.0	110.01591	329.0	21.0	5.5	5.2009616	17.0	1.0	57.5	60.768826	206.0	4.0	1000.0	1000.0	107999	12.955421	12.955438	-12.768633	0.82035154	2.5440187	0.10000002	3350.5612778663635
28	8.25	6.1796036	16.0	0.0	86.25	77.78295	206.0	0.0	5.7	5.916925	19.0	0.0	43.2	55.493786	170.0	0.0	1000.0	1000.0	111999	13.063151	13.063104	-12.871925	0.82976043	2.5658522	0.10000002	3476.298799276352
29	14.75	2.2776084	17.0	11.0	65.75	35.42157	119.0	26.0	7.3	5.7105165	16.0	0.0	75.5	71.46922	191.0	0.0	1000.0	1000.0	115999	13.170824	13.170775	-12.979299	0.86741275	2.564038	0.10000002	3601.98432469368
30	4.5	3.354102	10.0	1.0	130.75	54.997158	196.0	48.0	7.3	6.229767	19.0	0.0	51.6	54.708683	160.0	0.0	1000.0	1000.0	119999	13.35384	13.353963	-13.157635	0.9124182	2.6059282	0.10000002	3727.6624858379364
31	7.75	4.7631397	15.0	3.0	86.75	90.82779	232.0	0.0	3.0	2.4494898	7.0	0.0	57.4	117.77793	399.0	0.0	1000.0	1000.0	123999	13.476671	13.47665	-13.275346	0.95983833	2.5959082	0.10000002	3853.0931267738342
32	12.75	4.81534	18.0	5.0	168.0	80.95369	295.0	78.0	5.7	4.4056783	15.0	1.0	70.3	64.78588	234.0	0.0	1000.0	1000.0	127999	13.514434	13.514389	-13.310464	0.99084204	2.6067445	0.10000002	3978.565094470978
33	10.5	3.354102	16.0	7.0	122.0	39.629536	182.0	77.0	7.8	5.1146846	19.0	1.0	63.1	58.943104	196.0	0.0	1000.0	1000.0	131999	13.747334	13.747441	-13.539245	0.98721254	2.66925	0.10000002	4104.288324594498
