Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	mmd_entropy	alpha	Time
24	5.5	2.291288	8.0	2.0	58.5	33.049206	112.0	23.0	3.0	3.193744	10.0	0.0	14.3	21.8039	64.0	0.0	1000.0	1000.0	95999	10.791439	10.791501	-10.739246	0.50683326	1.5622873	0.05000001	2119.963732481003
25	3.5	2.0615528	7.0	2.0	42.0	45.299007	108.0	0.0	3.8	4.093898	13.0	0.0	100.7	253.74043	859.0	0.0	1000.0	1000.0	99999	10.504208	10.504157	-10.447051	0.52931637	1.5531482	0.05000001	2209.5905306339264
26	7.5	2.1794496	10.0	4.0	39.0	32.9621	82.0	0.0	2.2	2.925748	10.0	0.0	14.0	16.673332	49.0	0.0	1000.0	1000.0	103999	10.169221	10.169301	-10.105165	0.5210541	1.5537126	0.05000001	2299.066545009613
27	5.25	0.8291562	6.0	4.0	63.25	36.62905	88.0	0.0	1.6	2.154066	7.0	0.0	98.9	266.10992	896.0	0.0	1000.0	1000.0	107999	9.768522	9.768766	-9.695754	0.5227936	1.5487622	0.05000001	2389.3259196281433
28	5.75	1.6393596	7.0	3.0	56.0	32.611347	112.0	31.0	3.1	3.5623026	11.0	0.0	66.9	94.16098	271.0	0.0	1000.0	1000.0	111999	9.371312	9.37142	-9.295889	0.5304597	1.548058	0.05000001	2479.1605587005615
29	6.0	1.7320508	9.0	5.0	75.25	61.438484	167.0	0.0	1.7	1.6763054	6.0	0.0	15.7	25.589256	83.0	0.0	1000.0	1000.0	115999	8.900287	8.900295	-8.812047	0.5607104	1.5085372	0.05000001	2568.7689023017883
30	5.5	1.8027756	8.0	3.0	73.75	83.87602	216.0	10.0	2.3	2.7586226	10.0	0.0	5.2	7.613147	19.0	0.0	1000.0	1000.0	119999	8.351201	8.351145	-8.2585745	0.59742105	1.5176853	0.05000001	2657.6370012760162
31	4.75	2.8613808	8.0	1.0	14.5	12.971122	35.0	0.0	3.0	1.9493588	6.0	0.0	3.6	7.2138753	19.0	0.0	1000.0	1000.0	123999	7.912276	7.9120607	-7.8183985	0.6124876	1.5240133	0.05000001	2746.4313633441925
32	5.75	3.269174	10.0	1.0	36.5	58.13992	137.0	0.0	2.0	3.4928498	11.0	0.0	4.6	9.718024	30.0	0.0	1000.0	1000.0	127999	7.521647	7.521465	-7.42432	0.6084186	1.499566	0.05000001	2835.7218866348267
33	6.25	3.6314597	9.0	0.0	145.25	89.04598	247.0	47.0	3.6	3.7735925	10.0	0.0	35.3	71.429756	236.0	0.0	1000.0	1000.0	131999	7.171616	7.171297	-7.0735617	0.630632	1.4905742	0.05000001	2925.115716457367
34	2.0	2.9154758	7.0	0.0	7.25	12.557368	29.0	0.0	3.9	3.207803	10.0	0.0	58.9	127.63733	437.0	0.0	1000.0	1000.0	135999	6.941977	6.9420733	-6.84923	0.64308226	1.5146106	0.05000001	3014.405405521393
35	5.5	2.95804	10.0	2.0	24.5	22.961926	62.0	0.0	1.8	2.9933257	10.0	0.0	19.0	30.029985	82.0	0.0	1000.0	1000.0	139999	6.7675643	6.767643	-6.6725664	0.6416619	1.5123115	0.05000001	3103.5370423793793
36	4.25	2.8613808	9.0	2.0	84.75	124.59008	300.0	0.0	3.9	3.7536652	11.0	0.0	109.3	278.1705	939.0	0.0	1000.0	1000.0	143999	6.5472846	6.5472317	-6.4484677	0.66100097	1.512748	0.05000001	3202.6442165374756
37	5.25	2.8613808	9.0	1.0	42.25	36.69043	100.0	0.0	4.7	3.6619668	10.0	0.0	23.7	20.228941	56.0	0.0	1000.0	1000.0	147999	6.444165	6.44427	-6.349655	0.6381934	1.5398003	0.05000001	3302.8362698554993
38	3.25	2.2776084	7.0	1.0	13.5	9.233092	26.0	0.0	2.9	2.7367864	9.0	0.0	21.0	27.239677	79.0	0.0	1000.0	1000.0	151999	6.414563	6.41486	-6.3203516	0.64633113	1.5294551	0.05000001	3403.2357892990112
39	6.0	1.8708287	9.0	4.0	122.0	111.40242	310.0	21.0	3.2	2.6758175	7.0	0.0	21.8	28.067062	80.0	0.0	1000.0	1000.0	155999	6.2851577	6.2855287	-6.185764	0.61996555	1.5246612	0.05000001	3504.0482313632965
40	7.75	4.0233693	14.0	3.0	93.0	108.03471	279.0	13.0	3.6	3.4698703	9.0	0.0	16.8	24.567457	72.0	0.0	1000.0	1000.0	159999	6.1524177	6.152616	-6.047794	0.6351503	1.5344427	0.05000001	3605.0677556991577
41	5.25	2.58602	9.0	2.0	94.5	103.84965	270.0	10.0	1.9	2.385372	7.0	0.0	18.2	34.23098	110.0	0.0	1000.0	1000.0	163999	5.8465195	5.8466096	-5.732269	0.63963926	1.5107424	0.05000001	3706.1308917999268
42	7.0	3.082207	11.0	4.0	54.25	18.226011	82.0	31.0	1.9	2.118962	6.0	0.0	4.5	10.365809	34.0	0.0	1000.0	1000.0	167999	5.5358777	5.535778	-5.4202614	0.6463369	1.5144436	0.05000001	3806.827944755554
43	5.5	2.291288	9.0	3.0	42.0	46.432747	112.0	0.0	2.0	2.0	7.0	0.0	5.3	11.118004	34.0	0.0	1000.0	1000.0	171999	5.267665	5.267462	-5.1508756	0.6588886	1.516198	0.05000001	3909.0749201774597
44	3.25	3.49106	9.0	0.0	20.25	26.649343	65.0	0.0	1.4	1.56205	5.0	0.0	89.0	257.08713	860.0	0.0	1000.0	1000.0	175999	5.0887036	5.0886455	-4.975256	0.6311187	1.5098025	0.05000001	4010.558861017227
45	3.25	2.1650636	6.0	0.0	82.75	98.10549	247.0	0.0	3.6	2.973214	10.0	0.0	15.5	19.58188	59.0	0.0	1000.0	1000.0	179999	4.987611	4.9874864	-4.8750505	0.63089687	1.5316103	0.05000001	4113.262998580933
46	4.75	3.344772	10.0	1.0	8.75	11.031206	27.0	0.0	1.2	1.1661904	3.0	0.0	4.1	6.2999997	15.0	0.0	1000.0	1000.0	183999	4.8769164	4.8767033	-4.7622914	0.61879027	1.5263852	0.05000001	4215.409274101257
