Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	19.2	38.4	96.0	0.0	1.4	1.3564659	4.0	0.0	35.7	50.07804	162.0	0.0	778.8	590.5	3999	0.34023142	0.6003478	4.443191	-0.92742383	-0.41943344	0.001588482	39.96680212020874
2	0.0	0.0	0.0	0.0	56.5	57.915886	131.0	0.0	1.6	2.3323808	8.0	0.0	62.1	79.46503	290.0	8.0	903.25	676.7	7999	2.9875684	1.7830522	10.934271	-1.4095985	-3.292098	0.009243373	87.08969521522522
3	1.75	2.4874685	6.0	0.0	103.25	114.176125	295.0	0.0	1.5	1.4317821	4.0	0.0	171.1	246.17532	788.0	0.0	946.25	1000.0	11999	8.898608	3.1352267	23.117758	-5.9704175	-9.336216	0.05380364	140.80775475502014
4	6.75	3.5619516	12.0	3.0	65.75	74.048546	191.0	10.0	2.0	1.67332	5.0	0.0	138.4	190.15741	605.0	0.0	1000.0	1000.0	15999	12.547828	3.2639806	27.263987	-5.929567	-12.784596	0.10453505	194.87013220787048
5	3.5	3.354102	9.0	0.0	45.25	45.31763	94.0	0.0	1.6	1.2806249	4.0	0.0	68.5	69.65092	236.0	0.0	1000.0	1000.0	19999	14.498382	3.55198	29.093517	-5.2387276	-14.725743	0.1098081	249.48054671287537
6	5.0	2.5495098	8.0	1.0	63.75	38.08789	111.0	9.0	8.2	3.8678157	15.0	4.0	101.0	42.60751	179.0	38.0	1000.0	995.7	23999	16.452324	3.7703512	33.956787	-9.760831	-16.694082	0.123507544	304.4011125564575
7	10.75	3.112475	14.0	6.0	101.75	52.15542	188.0	54.0	14.2	2.0880613	17.0	9.0	73.5	50.086426	179.0	0.0	1000.0	1000.0	27999	18.59666	3.9130569	41.370224	-11.340575	-18.824581	0.14592575	360.7639672756195
8	13.75	2.384848	17.0	11.0	87.75	58.238197	171.0	13.0	11.6	3.7202148	16.0	2.0	60.4	44.03226	156.0	0.0	1000.0	913.0	31999	20.711853	4.288381	46.983826	-7.00563	-20.927803	0.1730698	417.3568127155304
9	14.0	2.236068	17.0	11.0	59.0	23.558437	88.0	32.0	13.4	1.356466	15.0	11.0	78.3	42.659233	166.0	27.0	1000.0	1000.0	35999	22.572008	4.5708985	47.273823	-9.702235	-22.769527	0.2031125	475.74664974212646
10	12.75	3.344772	18.0	9.0	71.25	36.299965	126.0	26.0	16.1	2.118962	19.0	12.0	52.8	39.796482	161.0	14.0	1000.0	1000.0	39999	24.210693	4.611509	55.51299	-8.028877	-24.401505	0.22558732	534.0371725559235
11	14.0	1.8708287	17.0	12.0	55.25	22.927876	88.0	30.0	14.0	3.9242833	19.0	5.0	56.7	35.578224	112.0	0.0	1000.0	943.7	43999	25.622484	4.607168	54.145058	-11.036376	-25.796097	0.23225418	591.019996881485
12	8.8	4.308132	14.0	2.0	75.8	46.149326	154.0	10.0	15.6	2.1071308	19.0	12.0	57.1	41.076637	155.0	4.0	849.2	1000.0	47999	26.85353	4.7463617	51.85797	-9.345909	-27.031124	0.2481846	648.6859738826752
13	15.0	0.70710677	16.0	14.0	69.25	41.348366	135.0	32.0	14.2	2.2271059	18.0	9.0	69.6	40.3688	123.0	0.0	1000.0	1000.0	51999	27.95265	4.8971233	54.9451	-10.632491	-28.116917	0.27118096	706.6923458576202
14	13.25	1.299038	14.0	11.0	86.25	36.382515	127.0	29.0	13.5	1.2845232	16.0	11.0	63.5	40.920044	134.0	0.0	1000.0	1000.0	55999	28.762468	5.0527716	57.768166	-11.740774	-28.912691	0.26268834	764.80370926857
15	15.5	2.598076	18.0	12.0	40.5	29.415133	75.0	0.0	14.9	1.4456832	17.0	12.0	48.0	44.088547	127.0	0.0	1000.0	1000.0	59999	29.51531	4.954295	55.785454	-8.614038	-29.667786	0.26351416	822.9316251277924
16	11.25	4.918079	15.0	3.0	33.0	21.52905	55.0	10.0	15.0	2.04939	19.0	12.0	59.7	33.666157	102.0	0.0	1000.0	1000.0	63999	30.172155	4.9328074	55.761185	-10.415571	-30.312891	0.26667798	880.4417271614075
17	17.0	2.4494898	19.0	13.0	41.5	39.764935	107.0	0.0	16.2	2.5612497	20.0	11.0	82.1	60.7494	202.0	12.0	1000.0	1000.0	67999	30.772745	5.0115495	53.459522	-3.9520464	-30.917091	0.28505126	937.9211661815643
18	14.0	1.8708287	17.0	12.0	102.0	20.310097	117.0	67.0	14.7	1.7916472	18.0	11.0	76.5	57.068817	201.0	0.0	1000.0	1000.0	71999	31.367935	5.0744543	51.02042	-7.9645424	-31.503555	0.30092472	995.3120760917664
19	14.5	3.905125	18.0	8.0	73.5	61.06349	162.0	0.0	16.4	1.6852299	18.0	13.0	35.2	33.893364	114.0	0.0	1000.0	1000.0	75999	31.832792	5.0943666	49.963535	-13.434698	-31.961128	0.28512946	1052.3965735435486
20	16.5	3.354102	22.0	13.0	33.25	35.730762	85.0	0.0	16.4	1.8547237	19.0	13.0	59.3	40.750584	127.0	0.0	1000.0	1000.0	79999	32.179443	5.077911	49.318584	-8.947714	-32.306503	0.26754504	1109.8887066841125
21	12.75	3.49106	17.0	8.0	40.25	34.41929	81.0	0.0	16.0	1.3416407	18.0	14.0	63.6	41.907516	166.0	4.0	1000.0	1000.0	83999	32.509693	4.9824085	50.427612	-8.346095	-32.635395	0.26859576	1168.3274538516998
