Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	0.25	0.4330127	1.0	0.0	0.2	0.4	1.0	0.0	17.3	26.855352	84.0	0.0	1000.0	952.5	3999	0.031814646	0.13849753	0.75765926	-0.55313724	0.031828225	0.13856064	0.7487868	-0.7185798	-0.07672087	0.00043434417	39.138646841049194
2	0.0	0.0	0.0	0.0	1.5	1.118034	3.0	0.0	2.3	1.2688577	5.0	1.0	101.0	79.245186	300.0	26.0	1000.0	1000.0	7999	0.4301259	0.33728465	2.5444067	-0.37314546	0.43013036	0.33729735	2.534592	-0.3707753	-0.50310606	0.00048921746	92.16593050956726
3	1.75	2.046338	5.0	0.0	7.0	9.0	22.0	0.0	1.3	1.5524175	5.0	0.0	207.0	213.13846	641.0	0.0	908.25	915.8	11999	1.0814935	0.6187772	7.866166	-0.31931072	1.0815547	0.6185606	7.0050106	-0.4276178	-1.1783519	0.025443945	139.0338490009308
4	2.75	1.9202864	6.0	1.0	74.75	84.62084	216.0	4.0	3.9	1.9209373	6.0	1.0	95.3	113.41698	362.0	8.0	1000.0	1000.0	15999	1.7041214	0.9688318	17.342812	-1.4008551	1.7040929	0.96851194	16.955868	-1.6290973	-1.7984114	0.054189317	189.06948518753052
5	7.0	2.345208	9.0	3.0	67.5	67.414764	183.0	13.0	5.0	3.5496478	10.0	0.0	94.3	104.52565	286.0	0.0	1000.0	1000.0	19999	2.2587116	1.5990847	18.727938	-1.7058232	2.2587025	1.59898	19.228668	-1.730995	-2.3420098	0.068998456	237.6719274520874
6	4.25	2.9474566	9.0	1.0	76.5	86.2134	217.0	1.0	3.6	2.2	7.0	0.0	114.9	145.37637	446.0	0.0	1000.0	1000.0	23999	2.839724	2.1996255	18.991575	-3.023939	2.839712	2.19938	18.469852	-2.9847264	-2.9246082	0.07105934	284.02728033065796
7	4.25	2.8613808	8.0	1.0	216.5	181.19672	472.0	9.0	8.2	2.6000001	12.0	3.0	95.7	170.74837	554.0	1.0	1000.0	1000.0	27999	3.3453946	2.5429094	21.094633	-3.3968973	3.3453515	2.5425043	20.487175	-3.5084214	-3.4479837	0.08432458	332.6336364746094
8	6.75	2.6809514	11.0	4.0	33.5	31.476181	75.0	3.0	3.1	2.7730849	8.0	0.0	118.9	130.61427	414.0	4.0	1000.0	1000.0	31999	3.9475532	2.742157	21.16396	-4.3483133	3.9475856	2.7421045	20.907917	-4.12542	-4.042952	0.10940841	382.0565330982208
9	5.5	1.6583124	7.0	3.0	60.75	30.58901	95.0	16.0	5.9	3.5341194	12.0	1.0	89.7	145.06622	516.0	0.0	1000.0	1000.0	35999	4.538873	3.060497	22.865652	-3.720076	4.5388107	3.0605075	21.835274	-4.3073454	-4.6460977	0.13240385	431.2010202407837
10	5.0	2.738613	8.0	1.0	220.0	205.43369	441.0	5.0	5.8	3.867816	11.0	0.0	188.0	219.69843	739.0	22.0	956.0	1000.0	39999	5.1168594	3.373205	24.595655	-4.155564	5.1167717	3.3731172	23.738764	-3.7209284	-5.228535	0.16005541	477.72849917411804
