Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	0.16666667	0.372678	1.0	0.0	16.166666	21.667309	54.0	0.0	0.0	0.0	0.0	0.0	99.3	297.9	993.0	0.0	575.8333	1000.0	3999	2.6772976	2.5512064	21.397263	-2.3636045	-3.3160229	0.021855585	51.18544316291809
2	0.16666667	0.37267798	1.0	0.0	15.0	15.427249	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	752.5	1000.0	7999	16.423882	6.609623	43.26393	-9.100012	-17.58798	0.14235546	109.27700781822205
3	0.0	0.0	0.0	0.0	13.0	26.0	65.0	0.0	0.0	0.0	0.0	0.0	99.1	296.96683	990.0	0.0	801.0	1000.0	11999	31.603092	8.5387	84.79669	-13.581325	-32.654755	0.39794108	167.16020345687866
4	0.0	0.0	0.0	0.0	8.75	15.155444	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	15999	35.81331	12.341547	118.99158	-10.4261055	-36.088223	0.6096512	226.60971093177795
5	0.0	0.0	0.0	0.0	15.25	26.413774	61.0	0.0	0.0	0.0	0.0	0.0	3.1	9.299999	31.0	0.0	1000.0	1000.0	19999	30.784204	15.406122	157.00392	-10.14387	-30.929401	0.9106055	286.3585216999054
6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.29999998	1.0	0.0	1000.0	1000.0	23999	36.574574	19.865559	165.77065	-13.250656	-38.566547	2.133392	346.2667727470398
7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.3	108.9	363.0	0.0	1000.0	1000.0	27999	69.04075	19.71261	190.74936	-44.822662	-70.51006	2.7622113	406.27147340774536
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	31999	68.39008	21.40561	200.65096	-34.256947	-68.88116	2.0181994	465.63735818862915
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.5	115.5	385.0	0.0	1000.0	1000.0	35999	64.08322	19.757883	177.89877	-31.093838	-64.624405	1.3355457	527.1838014125824
10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	39999	58.937016	18.480051	158.55411	-20.340267	-59.181953	0.89040905	587.9870295524597
11	0.0	0.0	0.0	0.0	7.0	12.124355	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	43999	51.02057	16.742517	125.1617	-20.46692	-51.159184	0.5084709	648.2203679084778
12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.6	265.8	886.0	0.0	1000.0	1000.0	47999	43.27129	13.312311	96.36862	-21.346724	-43.391453	0.29337993	709.2618572711945
13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	4.2000003	14.0	0.0	1000.0	1000.0	51999	36.67537	10.439259	75.79954	-11.059729	-36.772366	0.19259067	769.5911931991577
14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.3	174.9	583.0	0.0	1000.0	1000.0	55999	31.42757	8.753928	67.99581	-12.148506	-31.551378	0.12964219	830.396413564682
15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	59999	26.992125	7.847268	64.077965	-7.535046	-27.082518	0.09781198	890.7862732410431
16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	63999	23.371603	7.2172227	59.343357	-9.7329235	-23.457829	0.07223629	950.6894810199738
17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	67999	20.22847	6.333966	51.057163	-7.528247	-20.302597	0.05319252	1011.587687253952
18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	71999	17.784088	5.3290563	44.729668	-8.409718	-17.862364	0.040556755	1072.0688025951385
19	0.0	0.0	0.0	0.0	111.75	193.55667	447.0	0.0	0.0	0.0	0.0	0.0	4.1	12.300001	41.0	0.0	1000.0	1000.0	75999	15.475441	4.493588	36.01271	-8.0009365	-15.522256	0.028220134	1132.5372252464294
20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	1.5	5.0	0.0	1000.0	1000.0	79999	13.133182	3.7859778	31.110174	-5.628004	-13.163425	0.023360899	1193.3535194396973
21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.29999998	1.0	0.0	1000.0	1000.0	83999	10.924375	3.058151	25.505821	-4.7790813	-10.932121	0.016613018	1254.3671252727509
