Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
24	3.25	3.344772	9.0	1.0	4.75	8.2272415	19.0	0.0	1.2	0.8717798	3.0	0.0	59.1	128.40674	435.0	0.0	1000.0	929.7	95999	47.21252	11.156963	120.10182	5.0980816	-47.74675	1.5824522	1225.9363453388214
25	2.75	2.046338	6.0	1.0	77.5	55.16566	142.0	0.0	1.4	1.1135528	4.0	0.0	58.0	154.13695	519.0	0.0	1000.0	978.7	99999	49.026165	12.284024	133.8707	2.198971	-49.582996	1.6707007	1277.2243783473969
26	2.0	2.4494898	6.0	0.0	8.75	15.155444	35.0	0.0	0.7	0.78102493	2.0	0.0	6.5	15.654073	52.0	0.0	1000.0	936.5	103999	50.087666	13.14308	135.99251	6.3491516	-50.628033	1.853356	1329.0186944007874
27	1.0	0.57735026	2.0	0.0	83.166664	131.14929	350.0	0.0	0.8	1.2489997	4.0	0.0	95.5	228.86732	777.0	0.0	690.3333	907.8	107999	51.536846	13.389673	144.4021	3.884304	-52.14911	1.9081856	1381.039011001587
28	2.25	1.6393596	5.0	1.0	15.5	17.036724	41.0	0.0	0.6	0.9165151	3.0	0.0	60.1	168.64189	565.0	0.0	1000.0	913.9	111999	53.163	13.869755	136.23714	5.753933	-53.7631	1.9503909	1432.2065267562866
29	2.0	1.8708287	5.0	0.0	57.0	86.492775	206.0	0.0	0.6	0.66332495	2.0	0.0	15.1	25.414366	83.0	0.0	1000.0	1000.0	115999	54.62633	14.559877	140.05887	3.1942222	-55.22507	2.0372615	1484.3469157218933
30	0.16666667	0.372678	1.0	0.0	49.166668	71.07371	173.0	0.0	0.4	0.48989797	1.0	0.0	84.5	126.615364	312.0	0.0	689.1667	1000.0	119999	55.47359	14.48288	131.84712	-1.90061	-56.05021	2.0751803	1537.1157557964325
31	0.25	0.4330127	1.0	0.0	111.75	193.55667	447.0	0.0	0.4	0.66332495	2.0	0.0	1.7	5.1000004	17.0	0.0	983.5	932.6	123999	55.77538	14.068252	131.04227	-2.5832949	-56.367115	2.0759473	1588.5846056938171
32	0.75	0.8291562	2.0	0.0	19.0	22.113344	54.0	0.0	0.6	0.66332495	2.0	0.0	16.2	27.385399	78.0	0.0	982.25	835.7	127999	56.58967	14.66832	143.21558	-1.4086385	-57.212414	2.165266	1638.3208549022675
33	0.5	0.5	1.0	0.0	12.25	13.645054	33.0	0.0	0.5	0.67082036	2.0	0.0	47.8	96.997734	320.0	0.0	1000.0	920.6	131999	57.49091	14.577925	140.70303	-7.8164363	-58.110554	2.2720933	1688.980366230011
34	1.0	1.2247449	3.0	0.0	49.25	85.303505	197.0	0.0	0.4	0.489898	1.0	0.0	55.1	118.02241	402.0	0.0	1000.0	930.7	135999	57.87039	14.425073	143.56828	-9.136208	-58.487362	2.3187263	1740.2103509902954
35	0.5	0.5	1.0	0.0	164.0	256.03223	607.0	0.0	1.2	1.3266499	4.0	0.0	78.6	194.58531	660.0	0.0	1000.0	1000.0	139999	57.938805	15.291517	160.11186	-13.418182	-58.519363	2.4627032	1792.062875509262
36	1.4	1.019804	3.0	0.0	58.0	116.0	290.0	0.0	0.4	0.48989797	1.0	0.0	41.6	110.00564	371.0	0.0	847.8	804.1	143999	57.240425	15.543257	190.1413	-10.912166	-57.781094	2.4550676	1841.9101650714874
37	1.0	1.0954452	3.0	0.0	0.2	0.40000004	1.0	0.0	0.6	0.8	2.0	0.0	29.9	39.961105	113.0	0.0	697.4	1000.0	147999	56.430035	15.157627	198.35652	-11.011677	-56.97337	2.569248	1894.1708557605743
38	0.25	0.4330127	1.0	0.0	76.0	131.63586	304.0	0.0	0.3	0.45825756	1.0	0.0	107.6	274.81784	926.0	0.0	1000.0	910.4	151999	56.178955	15.47231	224.1162	-11.09458	-56.777397	2.6275284	1944.9228518009186
39	1.0	1.5491934	4.0	0.0	24.0	31.292171	84.0	0.0	0.7	1.1874342	4.0	0.0	16.0	34.839634	117.0	0.0	778.6	822.3	155999	56.29095	16.21703	229.54991	-7.2094793	-56.833103	2.6575806	1995.2205822467804
40	1.5	1.118034	3.0	0.0	5.5	9.526279	22.0	0.0	0.2	0.4	1.0	0.0	111.8	275.47552	931.0	0.0	1000.0	771.4	159999	55.14016	16.097801	240.4862	-2.0998251	-55.676582	2.6895213	2044.3120448589325
41	1.25	1.299038	3.0	0.0	76.0	109.25429	263.0	0.0	0.9	0.9433981	3.0	0.0	38.6	70.38352	235.0	0.0	1000.0	1000.0	163999	55.152233	16.007229	255.77966	-1.6454864	-55.74149	2.7930024	2096.604995250702
42	0.0	0.0	0.0	0.0	148.75	139.97388	326.0	0.0	1.0	1.0954452	3.0	0.0	74.2	120.31276	396.0	0.0	1000.0	910.8	167999	55.57694	16.160234	256.49625	-7.5432377	-56.18066	2.9244428	2147.9621109962463
43	0.4	0.48989797	1.0	0.0	11.4	22.8	57.0	0.0	0.2	0.4	1.0	0.0	105.2	268.78833	901.0	0.0	878.4	775.8	171999	55.803394	16.608255	271.25122	-9.522649	-56.398987	3.168807	2197.8170409202576
