Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
25	0.0	0.0	0.0	0.0	8.0	16.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	878.6	1000.0	99999	272.8234	62.40908	718.45917	-115.396515	-275.05615	10.412117	1619.8548648357391
26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	103999	258.4095	57.956837	721.41785	-90.25248	-260.30048	9.719164	1685.3790674209595
27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	957.5	107999	240.78212	53.82278	694.3532	-102.46438	-242.42336	8.382557	1749.6501779556274
28	0.25	0.4330127	1.0	0.0	0.0	0.0	0.0	0.0	0.1	0.29999998	1.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	111999	224.12474	49.799664	644.30963	-87.05937	-225.63791	7.888218	1815.4719634056091
29	0.0	0.0	0.0	0.0	86.75	150.2554	347.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	115999	210.1061	44.14345	552.5533	-68.77514	-211.72044	6.738732	1880.173143863678
30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	119999	198.51672	39.56043	523.2436	-75.09455	-199.9706	5.877326	1945.6577231884003
31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.4	1.0	0.0	69.6	201.89711	675.0	0.0	1000.0	1000.0	123999	186.66927	36.42651	471.3907	-57.92745	-188.07878	4.740416	2011.57568693161
32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	127999	175.94664	34.918373	465.25607	-61.44406	-177.1706	4.41545	2077.8548979759216
33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.29999998	1.0	0.0	1000.0	1000.0	131999	164.56241	32.955734	452.4684	-65.17826	-165.74535	3.8034384	2143.7744488716125
34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	135999	154.05724	32.06924	453.34222	-54.1889	-155.18633	3.3181992	2210.988187789917
35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	139999	143.92365	34.271683	525.1097	-58.606033	-144.88339	3.3839624	2277.1540620326996
